"row"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	AgingCluster
STC2	3473.5163709902	4.01377510252773	0.0999497414379099	40.157933825383	0	0	0
LAMC2	5760.38643064163	3.70321602358289	0.109863520447108	33.7074217948963	4.50036508239123e-249	3.42095251737969e-245	0
GPX2	8871.14801111459	-2.78167182702727	0.0845205638453895	-32.911183982583	1.52063264984914e-237	7.7060593918855e-234	0
C15orf48	2601.93419928739	2.74974287272189	0.0884660706539813	31.0824574030986	4.15782982225507e-212	1.58028716969359e-208	0
FASN	6880.82213168376	-2.25992112250717	0.0735735165323391	-30.7165027447591	3.42703452833445e-207	1.04202411868537e-203	0
KRT8	41323.3805691131	-2.23418244993802	0.0756493477970085	-29.5334000226023	1.0729779406676e-191	2.71874727199492e-188	0
ICAM1	2072.02297055571	2.7840505757881	0.0974508841429993	28.5687564589233	1.64293175403848e-179	3.56821306523529e-176	0
MCM5	2365.23133805514	-2.39220169374323	0.0839858233413915	-28.483398728131	1.88099975925726e-178	3.57460491749852e-175	0
ALDH1L2	971.341442162544	3.1753662781232	0.112219358697458	28.2960650905513	3.86347630532282e-176	6.52627002998032e-173	0
PEG10	3111.46586768669	-2.33918255717488	0.0836727980324524	-27.9563085277444	5.52527532307353e-172	8.40007607366869e-169	2
GREM1	892.72480680837	3.17581740898713	0.114380951163338	27.7652649036989	1.14001681584991e-169	1.57560687739693e-166	0
TK1	2694.34107019615	-2.23247891857235	0.0808304095578019	-27.6192949013317	6.52706632169258e-168	8.26924910739103e-165	0
FADS2	15605.9680529583	-1.99282304195154	0.0743830638043646	-26.7913546448271	4.07489047414576e-158	4.76542768295677e-155	0
ASNS	4404.96680516351	3.15143020233052	0.120398700033591	26.1749520671841	5.12557447389575e-151	5.56600776618836e-148	2
EREG	2096.01463898704	2.98844044939205	0.114696515640846	26.0551982132558	1.17471503918951e-149	1.19061284938654e-146	0
FGFR4	1323.4661728857	-2.65919455707902	0.103084601061078	-25.7962346432658	9.77307100867926e-147	9.28624990905943e-144	0
SERPINE1	59945.0161829067	2.74909264393625	0.107355545389135	25.6073650780826	1.26299979168036e-144	1.12949328428921e-141	0
RECQL4	1155.21897171677	-2.42675258232349	0.0975561866040732	-24.8754350369633	1.37253143426025e-136	1.15925529972547e-133	0
EIF1	16658.8365117041	1.80960681322558	0.0730664020025319	24.7666063146625	2.05378020277933e-135	1.64334844330811e-132	0
PODXL	3591.47442943364	1.96717589414148	0.0794917581139816	24.7469164202003	3.34655973913068e-135	2.54388738570019e-132	0
CDCP1	1709.43470202488	2.70969576044506	0.109659451896313	24.7100976120798	8.33023045137806e-135	6.03069016915717e-132	0
INSL4	562.874185193285	-3.22323525632724	0.131367502456236	-24.5360168691723	6.09926185289486e-133	4.21486717952548e-130	0
