"row"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	AgingCluster
CXCL2	608.73848981133	6.88081288646872	0.197578797140387	34.8256644237978	9.94643980510445e-266	1.29900503854664e-261	0
JUNB	817.418198055027	3.48818997141707	0.116952290635439	29.825751616019	1.81136171743532e-195	1.18281920148527e-191	0
CCNL1	1008.39337921373	2.83075065437114	0.103989059695803	27.2216198766665	3.6035806275544e-163	1.56875876652868e-159	0
NFKBIA	2104.54003590006	3.25819308154061	0.121264273273326	26.8685326155111	5.12371485246871e-159	1.67289289933103e-155	0
ARRDC3	401.757168355417	3.48148034796079	0.139929752580046	24.8802008419848	1.21884417612391e-136	2.77991229320113e-133	0
TNFAIP3	503.756104090044	3.42549442943888	0.137689908877881	24.878325923485	1.27714194174631e-136	2.77991229320113e-133	0
PPP1R15A	1459.00937766294	3.21251452207687	0.132805688705988	24.1895852005926	2.86350275487347e-129	5.34247799694965e-126	0
DDIT3	343.024462645129	3.54916143166946	0.147952771906082	23.9884754164823	3.66832529888936e-127	5.98854105043689e-124	0
IER5	1025.06186258036	2.31726854926298	0.100338188962653	23.0945821647776	5.24839694874536e-118	7.61600712784605e-115	0
CXCL3	199.450518771239	5.96984568308962	0.274270697183066	21.7662540854846	4.846585595618e-105	6.32964078787711e-102	0
EGR1	511.365338196674	9.63169464158279	0.453533291484952	21.2370179266153	4.3461998620944e-100	5.16012456354117e-97	0
BBC3	918.013252539125	2.70584748632985	0.127447857061574	21.2310159520578	4.93834036446877e-100	5.37456042999684e-97	0
NR1D1	261.931530776549	4.22916524471333	0.201524824944125	20.9858276561506	8.83712261405878e-98	8.87790933381597e-95	0
HIST2H2BE	443.078726073086	3.4705116448988	0.168837101701694	20.5553851014962	6.88815459178474e-94	6.42566421205062e-91	0
KDM6B	566.150929916164	2.98836828002184	0.146142650915965	20.4482966559859	6.22097839812628e-93	5.41639852530195e-90	0
PTGS2	649.00941653851	2.45148461324854	0.123076793210619	19.9183334997472	2.82228456020795e-88	2.30368977226974e-85	0
HLA-B	310.255649702489	2.93173195545537	0.148936092829471	19.6844962141725	2.92833900783729e-86	2.24965337896206e-83	0
PCF11	600.518535267605	2.24243484819864	0.116113755151947	19.3123962381906	4.22507284355541e-83	3.06552507426853e-80	0
DUSP8	303.192486344354	3.46926109550787	0.183345997730776	18.9219352396342	7.52404496939537e-80	5.17179091054229e-77	0
CLK1	525.177341804959	2.41528493984902	0.128161178250626	18.8456830127278	3.18823327590017e-79	2.08191632916281e-76	1
PER1	252.02829931452	4.09767359566452	0.218692907977673	18.7371123899586	2.46655147683889e-78	1.53396010892933e-75	0
IER2	451.01884126621	2.2971923843992	0.12287611432502	18.6951906561994	5.41764811166752e-78	3.21611292447172e-75	0
C3	1155.80960140764	1.91511203127966	0.102693029311748	18.6488999702783	1.28902176482358e-77	7.31940184721564e-75	0
EFNA1	262.436187034636	4.04334706147032	0.218382276155404	18.5149964211977	1.56307075591527e-76	8.50571003010561e-74	0
BCL3	412.483583669571	2.906009549221	0.158155002839729	18.3744396133071	2.104702720648e-75	1.09949670126652e-72	0
NFKBIZ	212.977827669793	3.54358838699078	0.195794250713453	18.0985313617654	3.27278389445568e-73	1.64394452544582e-70	0
FGA	486.730446144867	2.35350146782934	0.130826699076934	17.9894584548475	2.35649448114611e-72	1.13984510828771e-69	0
