"row"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	AgingCluster
IFIT2	12201.5813685687	5.29136022973243	0.130328510356785	40.6001742461944	0	0	0
IFIT3	4866.78645054544	4.8979061609713	0.121624913352765	40.2705829418783	0	0	0
IFIT1	6073.42370739775	4.52268296177345	0.110343646501419	40.9872530514502	0	0	0
OAS2	6634.24336341115	4.8505345981049	0.112948432498875	42.944682726369	0	0	0
RSAD2	2686.48534862148	5.10981385754168	0.124760941960799	40.9568393539961	0	0	0
IL1A	4828.30889211274	5.22809059050836	0.129302970254474	40.4328731213155	0	0	0
IL6	1698.48228370514	6.06068251844717	0.159772077908112	37.9333022252661	0	0	0
TNFAIP3	2472.39107750243	5.33269742937053	0.147212836463729	36.2244051366025	2.51399442215281e-287	4.57892659064857e-284	0
MX2	1682.81254100489	5.37445735178936	0.149632119868315	35.9178053249475	1.61095698750307e-282	2.60813936276747e-279	0
ATF3	2285.94479993172	4.97179776549648	0.141123695861533	35.2300705784709	6.92898530044093e-272	1.00962244812725e-268	0
MX1	5699.58965043423	3.85903785386028	0.11213085859669	34.415484748408	1.47935085682424e-259	1.95960193952599e-256	0
PPP1R15A	8347.968500959	3.8788631710974	0.113678309871005	34.1214007799633	3.55242305136563e-255	4.31352969012071e-252	0
CCL20	2226.40849088232	3.95910641118307	0.116503818075217	33.9826322998874	4.02238299201983e-253	4.50847250590161e-250	0
NFKBIA	4955.30164430279	4.0791494678662	0.120069588873392	33.9732109199398	5.54152770401901e-253	5.7675428696615e-250	0
IFIH1	4525.25327928494	4.03481859592556	0.120609290246804	33.4536302109819	2.27918386624496e-245	2.21399920767036e-242	0
TXNIP	11419.3390351741	3.40139180203123	0.104171874010466	32.6517290232247	7.57295021789881e-234	6.89659110156272e-231	0
IL1B	2230.14984581178	4.20171874850212	0.131718274010664	31.8992848946833	2.73172167473752e-223	2.34140685427061e-220	0
GBP1	2026.70313459341	4.09038368727284	0.129603945690224	31.5606416570802	1.2811982279263e-218	1.03712996550634e-215	0
TRIM22	913.650902487372	5.64963150668095	0.179527757334116	31.4694038992897	2.27836922541656e-217	1.74726936755499e-214	0
ICAM1	19095.4571827471	3.65202756010163	0.116428630587376	31.3670919401643	5.68930005406356e-216	4.14493955438801e-213	0
IRF1	2808.8903607621	3.51180234703297	0.115298839830737	30.4582626519785	9.31152967582617e-204	6.46087137649825e-201	0
