Cell	OLR_estimate	StdError	z	pval	lowerCI	upperCI
Alveolar.Fibroblast	0.022646513	0.006859141	3.301654175	0.000961165	0.009202596	0.03609043
Goblet	-0.020507632	0.006798977	-3.016282072	0.002558951	-0.033833626	-0.007181637
Proliferating.NK.T	-0.020032248	0.006725002	-2.978771882	0.002894061	-0.033213252	-0.006851243
Artery	0.019936461	0.006939717	2.872806188	0.004068436	0.006334616	0.033538306
Capillary.Intermediate.1	0.019169251	0.006898378	2.778805329	0.005455921	0.005648429	0.032690073
IGSF21..Dendritic	0.017322549	0.006538851	2.649173053	0.0080689	0.0045064	0.030138698
Pericyte	0.016590054	0.006670557	2.487056942	0.012880478	0.003515763	0.029664345
Alveolar.Epithelial.Type.2	-0.017563121	0.007324215	-2.397952688	0.016486995	-0.031918582	-0.00320766
Airway.Smooth.Muscle	0.015593765	0.006695944	2.328837647	0.019867668	0.002469716	0.028717815
Fibromyocyte	-0.013980755	0.006698448	-2.087163211	0.036873384	-0.027109714	-0.000851796
Lipofibroblast	-0.013232502	0.006614262	-2.000601272	0.045435376	-0.026196456	-0.000268547
Proliferating.Basal	-0.013351366	0.006807617	-1.961239453	0.049851097	-0.026694295	-8.44E-06
TREM2..Dendritic	-0.011889291	0.006596577	-1.802342317	0.071491565	-0.024818583	0.001040001
B	0.011978674	0.006800799	1.761362772	0.078177022	-0.001350892	0.02530824
Ionocyte	-0.012116445	0.006945061	-1.744613254	0.081052212	-0.025728763	0.001495874
CD8..Naive.T	0.011983114	0.007046154	1.700660275	0.089006799	-0.001827348	0.025793575
Proximal.Ciliated	0.01113235	0.006578281	1.692288647	0.090590951	-0.001761081	0.024025781
Serous	-0.011592167	0.007109074	-1.630615619	0.102971451	-0.025525952	0.002341618
Vein	0.01031711	0.007284786	1.416254292	0.156701065	-0.003961071	0.024595291
Signaling.Alveolar.Epithelial.Type.2	-0.008455618	0.006772359	-1.248548493	0.211830261	-0.021729441	0.004818205
Platelet.Megakaryocyte	-0.008203298	0.00665964	-1.231793	0.218026419	-0.021256193	0.004849597
Myofibroblast	0.008219136	0.006784862	1.211393229	0.225744733	-0.005079194	0.021517465
Neuroendocrine	0.00786219	0.006733473	1.167627849	0.242956912	-0.005335416	0.021059797
Mesothelial	0.007525488	0.006582795	1.143205572	0.252953249	-0.00537679	0.020427766
Capillary.Aerocyte	-0.007527409	0.00671726	-1.120607075	0.262455152	-0.020693238	0.00563842
OLR1..Classical.Monocyte	-0.007692946	0.00714707	-1.07637746	0.281758479	-0.021701204	0.006315313
Basal	-0.007311792	0.006865123	-1.065063464	0.286847211	-0.020767434	0.00614385
Myeloid.Dendritic.Type.1	0.007652596	0.007327614	1.044350293	0.296323352	-0.006709528	0.02201472
EREG..Dendritic	0.00675634	0.006819989	0.990667348	0.32184804	-0.006610838	0.020123518
Macrophage	-0.005711489	0.006664424	-0.857011731	0.391438401	-0.01877376	0.007350781
Vascular.Smooth.Muscle	-0.004641892	0.006724406	-0.690305062	0.490002365	-0.017821728	0.008537944
Differentiating.Basal	-0.005152321	0.007860604	-0.65546129	0.512170802	-0.020559104	0.010254462
Proximal.Basal	0.004362468	0.007266142	0.600382906	0.548251078	-0.009879171	0.018604107
CD8..Memory.Effector.T	0.003937399	0.006761401	0.582334799	0.56034119	-0.009314947	0.017189746
Nonclassical.Monocyte	-0.003736297	0.006702543	-0.557444661	0.577223659	-0.016873281	0.009400687
Plasma	-0.00358449	0.006559756	-0.546436391	0.584766001	-0.016441612	0.009272633
Club	-0.003690388	0.006809284	-0.541964151	0.587843202	-0.017036585	0.009655809
Plasmacytoid.Dendritic	0.002437489	0.006579318	0.370477556	0.711026696	-0.010457973	0.015332952
CD4..Memory.Effector.T	-0.002335492	0.006694129	-0.348886622	0.727174429	-0.015455985	0.010785001
Ciliated	-0.002387508	0.007024133	-0.339900755	0.733931268	-0.016154808	0.011379792
CD4..Naive.T	0.002248844	0.007054574	0.318778128	0.749894765	-0.011578121	0.016075809
Lymphatic	-0.002104647	0.006630466	-0.317420635	0.750924452	-0.015100361	0.010891067
Bronchial.Vessel.1	-0.001791471	0.006668463	-0.26864825	0.788200379	-0.014861658	0.011278716
Classical.Monocyte	0.001644109	0.006812087	0.241351763	0.809282496	-0.011707581	0.014995799
Natural.Killer.T	0.000849627	0.006989527	0.121557199	0.903249712	-0.012849845	0.0145491
Alveolar.Epithelial.Type.1	0.000728537	0.006680857	0.109048427	0.91316408	-0.012365943	0.013823017
Basophil.Mast.1	-0.000182965	0.006831227	-0.026783628	0.978632311	-0.01357217	0.01320624
Mucous	-0.000105567	0.006622311	-0.015941152	0.98728134	-0.013085297	0.012874162
Adventitial.Fibroblast	6.30E-05	0.006897124	0.009134213	0.992712054	-0.013455364	0.013581363
