"Cell"	"OLR_estimate"	"StdError"	"z"	"pval"	"lowerCI"	"upperCI"
"Capillary.Aerocyte"	-0.00333188490370454	0.00845518740350032	"-0.394063992280667"	"0.693533794533845"	-0.0199040522145652	0.0132402824071561
"Capillary"	-0.00330824566659036	0.00672653088004955	"-0.491820483037162"	"0.622846255106632"	-0.0164922461914875	0.00987575485830676
"Capillary.Intermediate.1"	0.00514779133219684	0.00661915805099771	"0.777710895031569"	"0.436739467805127"	-0.00782575844775867	0.0181213411121524
"IGSF21..Dendritic"	0.0167381234571718	0.00653693297881055	"2.56054689736431"	"0.0104507557245604"	0.00392573481870312	0.0295505120956405
"Myeloid.Dendritic.Type.1"	0.00949549649345133	0.00672082211340828	"1.41284746616154"	"0.157700578351985"	-0.0036773148488289	0.0226683078357316
"Plasmacytoid.Dendritic"	-0.00730588567504641	0.00693783122803727	"-1.0530503603953"	"0.292317911703724"	-0.0209040348819995	0.00629226353190664
"Myeloid.Dendritic.Type.2"	-0.0374312419484827	0.0116646960339852	"-3.20893419249216"	"0.00133227981454294"	-0.0602940461750937	-0.0145684377218717
"B"	-0.00360807618929294	0.00681061313263631	"-0.529772594482444"	"0.596269608595437"	-0.0169568779292601	0.00974072555067423
"EREG..Dendritic"	-0.00383129783896033	0.00780137922451879	"-0.491105191620352"	"0.623352049781764"	-0.0191220011190172	0.0114594054410965
"Macrophage"	-0.00352448600048974	0.00658027535258023	"-0.535613756513659"	"0.592225519329809"	-0.016421825691547	0.00937285369056751
"CD8..Naive.T"	-0.0098178239982789	0.0083948233825346	"-1.16950929768277"	"0.24219849743477"	-0.0262716778280467	0.00663602983148892
"CD4..Naive.T"	-0.00285904900082773	0.00699222709748096	"-0.408889608556584"	"0.682620675258985"	-0.0165638141118904	0.010845716110235
"CD4..Memory.Effector.T"	1.02006230466448e-05	0.00753454657753121	"0.00135384696898206"	"0.998919786735747"	-0.0147575106689145	0.0147779119150078
"Vein"	0.0113683098882683	0.0075536553624813	"1.50500775356184"	"0.132322083335802"	-0.00343685462219505	0.0261734743987316
"Artery"	0.0163129840028627	0.0068410800460135	"2.38456265577082"	"0.0170994359218611"	0.00290446711267624	0.0297215008930492
"Pericyte"	0.0131490576831798	0.0066051342852565	"1.99073283226507"	"0.046510267149166"	0.000202994484077059	0.0260951208822825
"Vascular.Smooth.Muscle"	-0.00112415735655677	0.0066484024976414	"-0.169086838072089"	"0.86572833756152"	-0.0141550262519339	0.0119067115388204
"Club"	-0.0140639714692496	0.00691680056393717	"-2.03330591062237"	"0.0420216264016864"	-0.0276209005745665	-0.000507042363932748
"Mucous"	0.0108928654814966	0.00748234130286072	"1.4558097580141"	"0.145445217500419"	-0.00377252347211041	0.0255582544351036
"Alveolar.Epithelial.Type.2"	-0.0194378530712814	0.00711281685398401	"-2.73279257294442"	"0.00627998683458447"	-0.0333789741050901	-0.00549673203747274
"Basal"	-0.0117028373737666	0.00993156965722856	"-1.17834720770939"	"0.238658214910646"	-0.0311687139019346	0.00776303915440137
"Lymphatic"	0.0107901653679708	0.00726615592324923	"1.48498951604464"	"0.137546601325418"	-0.00345150024159769	0.0250318309775393
"Proliferating.Macrophage"	0.00758832602622044	0.00827964621223356	"0.916503656280427"	"0.359402790634747"	-0.00863978054975734	0.0238164326021982
"CD8..Memory.Effector.T"	0.0128936889450195	0.00682931716880334	"1.8879909405758"	"0.0590271666713217"	-0.000491772705835045	0.026279150595874
"Proliferating.NK.T"	-0.018913985144519	0.00831409417023139	"-2.27493034806371"	"0.0229101084724061"	-0.0352096097181725	-0.00261836057086547
"Natural.Killer.T"	-0.00435293372221146	0.00707532330513183	"-0.615227535829242"	"0.538404465419892"	-0.0182205674002698	0.00951469995584693
"Natural.Killer"	0.0205515734710276	0.0068429912208513	"3.00330262128714"	"0.00267066722310959"	0.00713931067815905	0.0339638362638961
"OLR1..Classical.Monocyte"	-0.00624247035614476	0.00688985936042845	"-0.906037413767553"	"0.364916049855929"	-0.0197465947025845	0.007261653990295
"Basophil.Mast.1"	-0.00710223543007716	0.00665240130392398	"-1.0676198120952"	"0.285692043011869"	-0.0201409419857682	0.00593647112561384
"Classical.Monocyte"	0.00300888072158434	0.00667604562710869	"0.450698046365428"	"0.652207190589941"	-0.0100761687075487	0.0160939301507174
"Intermediate.Monocyte"	-0.00370032726369875	0.00985986516524198	"-0.375291872828358"	"0.707443409740567"	-0.023025662987573	0.0156250084601755
"Nonclassical.Monocyte"	0.00463517002156472	0.0084716113218018	"0.547141487669063"	"0.584281531412601"	-0.0119691881691668	0.0212395282122962
"Airway.Smooth.Muscle"	0.0107748459511182	0.00708933787138277	"1.51986633259681"	"0.128544573582122"	-0.00312025627679203	0.0246699481790284
"Ciliated"	-0.00376934677636803	0.00686569364748873	"-0.549011792529767"	"0.582997357055264"	-0.0172261063254459	0.00968741277270988
"Alveolar.Fibroblast"	0.023719121098829	0.00679729514375088	"3.48949407039287"	"0.000483935794529034"	0.0103964226170773	0.0370418195805807
"Adventitial.Fibroblast"	0.00620414482236936	0.00696770951035975	"0.89041381721567"	"0.373243725851941"	-0.00745256581793575	0.0198608554626745
"Alveolar.Epithelial.Type.1"	0.00352755390913733	0.00662229032344418	"0.532678837206685"	"0.594255918109912"	-0.00945213512481326	0.0165072429430879
"Platelet.Megakaryocyte"	-0.00624860298455271	0.0065748778131758	"-0.950375529721745"	"0.341921473200493"	-0.0191353634983773	0.00663815752927186
"TREM2..Dendritic"	-0.00952331738843534	0.00663430505296346	"-1.43546570626586"	"0.151154433932833"	-0.0225265552922437	0.00347992051537304
"Differentiating.Basal"	0.00782733298487356	0.0123706042680002	"0.632736511111345"	"0.526905722855341"	-0.0164190513804068	0.0320737173501539
"Proliferating.Basal"	-0.0113875720022528	0.00699256587876077	"-1.62852552263274"	"0.103413501945828"	-0.0250930011246239	0.00231785712011831
"Plasma"	0.00786026562460818	0.00665081586315152	"1.18184983411698"	"0.237265290154314"	-0.0051753334671688	0.0208958647163852
"Bronchial.Vessel.2"	-0.00110714292697784	0.0126954279810723	"-0.0872080034346607"	"0.930506177775578"	-0.0259901817698795	0.0237758959159239
"Bronchial.Vessel.1"	-0.00693655259332514	0.00664268599450161	"-1.04423912240723"	"0.29637477068292"	-0.0199562171425483	0.00608311195589801
"Lipofibroblast"	-0.00569095539295586	0.00684473805908107	"-0.831435088360399"	"0.405727883849783"	-0.0191066419887548	0.00772473120284304
"Mesothelial"	-0.000783394275752749	0.00720954970060566	"-0.10866063877567"	"0.913471662643085"	-0.0149141116889398	0.0133473231374343
"Basophil.Mast.2"	0.016043960027658	0.0112596396754463	"1.42490883279726"	"0.154183556059506"	-0.00602493373621675	0.0381128537915327
"Signaling.Alveolar.Epithelial.Type.2"	0.00744377673340093	0.0071675395437231	"1.03854003008881"	"0.299018708905861"	-0.00660460077229635	0.0214921542390982
"Proximal.Basal"	0.00378994463881981	0.00696970855626608	"0.543773761588995"	"0.586597166690944"	-0.00987068413146171	0.0174505734091013
"Fibromyocyte"	-0.0102482381373061	0.00670827965551396	"-1.5276998967809"	"0.126587065770774"	-0.0233964662621135	0.00289998998750126
"Serous"	-0.0053165642611744	0.00758293944439032	"-0.701121814325904"	"0.483226997722446"	-0.0201791255721794	0.00954599704983063
"Proximal.Ciliated"	0.0094554172504764	0.00840199914690473	"1.12537707813976"	"0.260429280061804"	-0.00701250107745687	0.0259233355784097
"Goblet"	-0.027187575914657	0.00685329707722793	"-3.96707972940435"	"7.27586578974463e-05"	-0.0406200381860237	-0.0137551136432903
