Mixture	Capillary Aerocyte	Capillary	Capillary Intermediate 1	Capillary Intermediate 2	IGSF21+ Dendritic	Myeloid Dendritic Type 1	Plasmacytoid Dendritic	Myeloid Dendritic Type 2	B	EREG+ Dendritic	Macrophage	CD8+ Naive T	CD4+ Naive T	CD4+ Memory/Effector T	Vein	Artery	Pericyte	Vascular Smooth Muscle	Club	Mucous	Alveolar Epithelial Type 2	Basal	Lymphatic	Proliferating Macrophage	CD8+ Memory/Effector T	Proliferating NK/T	Natural Killer T	Natural Killer	OLR1+ Classical Monocyte	Basophil/Mast 1	Classical Monocyte	Intermediate Monocyte	Nonclassical Monocyte	Airway Smooth Muscle	Ciliated	Alveolar Fibroblast	Myofibroblast	Adventitial Fibroblast	Alveolar Epithelial Type 1	Platelet/Megakaryocyte	TREM2+ Dendritic	Differentiating Basal	Proliferating Basal	Plasma	Bronchial Vessel 2	Bronchial Vessel 1	Lipofibroblast	Mesothelial	Basophil/Mast 2	Signaling Alveolar Epithelial Type 2	Proximal Basal	Neuroendocrine	Fibromyocyte	Ionocyte	Serous	Proximal Ciliated	Goblet	P-value	Correlation	RMSE
GTEX.111CU.0326.SM.5GZXO	0	0	0.23810618854599	0	0.0216311881090099	0.00214082274671512	0.00134557986893101	0	0	0.0413666725103032	0.0279245327554371	0	0.000985124473379783	0.00424996656959451	0.0544876285696441	0	0.0137934850201958	0	0.00492455061648457	0	0.163556331998433	0.0119348445596989	0	0.00468462350002859	0.000244469227169952	0	0	0.00598808784893089	0.0568066950935878	0.00777776394229086	0.0370708591126596	0	0	0.0360897781845439	0	0.0621595978937931	0	0.00142221472789346	0.0346637781923077	0.00100024966294351	0.0478163511447071	0	0.00721776135222223	0.000492744593695429	0.0355993982706828	0	0.0310367343838019	0.0230384976579727	0	0	0	0	0.0101602095817247	0	0	0	0.0102832692852269	0	0.499003663124613	0.866986181738326
GTEX.111FC.1126.SM.5GZWU	0.0504879241691919	0.15712589056433	0	0	0.0281887263784457	0.0151674821826271	0	0	0.00655146420310932	0.0118950187633047	0.0255686103825007	0	0	0	0	0.0333229316482667	0.0223034337774176	0.0560595513542964	0.036142072761284	0.0481932141016797	0	0	0	0	0.0112190846737809	0.000972570949205839	0.00790822888221757	0.012389809805014	0	0	0.0226767768420721	0	0	0	0.0072538443058374	0.227381024889205	0	0	0.0328505039396779	0.00165277071589719	0.00750926059213054	0.0309456624877984	0	0.00319398276240637	0	0.0527701671703359	0	0	0.0189319982898869	0	0.0131950528272753	0.000590523635482259	0.0432472065986091	0	0.000554501608510677	0.0137507087382031	0	0	0.47500139041874	0.881239808835153
GTEX.111VG.0726.SM.5GIDC	0	0	0.15828309260028	0	0.0109389543058629	0.0201629891746065	0	0	0.00187987318889517	0.0137478745251335	0	0.003556499342484	0	0.00422239978703054	0.033679762944958	0	0.00783565669120522	0.0540602962266656	0.00576782398842196	0.0350705500791802	6.99463832202975e-05	0	0	0	0.00120927143333259	0	0	0.00499473319340679	0.0449383915989117	0.0068087419420231	0.0274281713417059	0	0.0113720936882945	0.0541345847647786	0.0540571531404648	0.23344970557377	0	0.0488021715673406	0.0253593683995077	0.000184133009021905	0.00592145352629769	0.00561024096619118	0.00312631039318947	0.00435995758765194	0.0218327577721641	0.0579905945003581	0.00993169764641378	0	0	0	0	0	0.0272888450113518	0	0	0.00192390370587934	0	0	0.678570272902421	0.778861374623269
GTEX.111YS.0626.SM.5GZXV	0	0.0557883386383827	0.229124068054066	0	0.0376747031835917	0	0.00239760253728371	0	0	0.0286078672920541	0.0172156896581708	0	0.00166325622012329	0	0.00582056461008962	0.023674154125043	0.0194910201162192	0.00666336683990554	0	0	0.10729803368582	0	0.000406303074560967	0.00598970860362369	0.00915791938463093	0	0	0.00775901220302647	0	0.00931159750216055	0.0478665623036475	0.0044894944442655	0	0.00198948584477572	0.00823893870571985	0.108079813457931	0	0.00491264096932147	0.0658745570056119	0.00429241808585874	0.0312493089810961	0	0.00403244562109241	0.00109132442638328	0	0.00268072996149421	0.00554357993192771	0	0	0.0833634897770122	0.0158376959884839	0	0.0321953036661679	0	0	0	0.0102190051004588	0	0.707458561353067	0.715607563829329
GTEX.1122O.0126.SM.5GICA	0.0293024023830417	0.100474528956885	0.0282986383381513	0	0.0630090090087294	0.00399257342673896	0	0	0.0048894772838647	0	0.113227526931117	0	0	0.00431121063790312	0.0108847906456089	0.0238281082044276	0.0186824745656916	0.0219786450733151	0.00283660825763098	0	0	0	0	0	0	0.000826171144014787	0.00342125099133738	0.00960070322041717	0	0.0158846155745048	0.0893824087518541	0	0	0.0168554805877771	0	0.0910640541820239	0	0	0.0876994218011639	0.00251858134215092	5.7000840486905e-05	0	0	0.00154698109829748	0	0.0084648930782277	0.00128940190777385	0	0	0.151360383932311	0.047783592812777	0	0.0302289007099589	0	0.000433182870527495	0.00474776506051276	0.0111192163807766	0	0.619301772785505	0.788120966961636
GTEX.1128S.0726.SM.5N9D6	0	0	0.200423824751996	0	0.033851471358861	0.0103677585667745	0.00340036695294779	0	0.000202169847071024	0	0	0	0	0.001966775509075	0.0936456665714684	0.00107046209357479	0.0125811132733921	0	0.0109661366050478	0.023525147147601	0.0164797477736031	0	0.000605675539804178	0.0154320743192289	0.0227855755438335	0	0.00166205542680047	0.0115230790408678	0.109208688896715	0.00489648668943533	0.0535302678169637	0	0.0179839430496427	0.0523228358451698	0.0819449604035922	0.0633608174405156	0.0042884756425295	0.0357541467590458	0.0115275620546607	0.00154895547191463	0.0373359847404318	0	0.0044861018582272	0.000840472608303333	0	0.0269739513737729	0.000524431279956669	0.0184125426235512	0	0	0.00848323067246751	0	0	0	0	0	0.00608704445115774	0	0.422457926428388	0.907210067148408
GTEX.117YW.0526.SM.5H11C	0.0292182667128698	0.040385884130516	0	0	0.020642442790563	0.044410232192555	0	0	0.00394440395687658	0	0.00220473036089676	0.0117520336738215	0.00434672684154199	0	0.039853092836629	0.00547492190350664	0.0203289796554454	0.0891988133653792	0.00238633150472014	0	0	0	0.00844925495439564	0	0.00783296311949077	0	0.0014316272470799	0.0057091899979987	0.017113479077822	0.0385974925241223	0.0191730545402594	0.000554558753307372	0	0	0.0128325410105594	0.175671897416727	0.0355010505420265	0.0797363366719529	0.0101258232772267	0.000577976859697794	0.132357326841602	0.00556378543948697	0.0176440151723348	0.0106373617647172	0	0.0696247819926785	0.00098935053463407	0	0	0.0283428151989944	0	0	0	0	0	0	0.00738645713756496	0	0.630028754611596	0.810766325221602
GTEX.117YX.1326.SM.5H125	0	0.0328312195952402	0.14272978949578	0	0.0614381576725044	0.0141460539895547	0.000908707066856577	0	0.00400075851451604	0	0.0676777406901114	0	0.0029883232547701	0	0	0.0310709924731751	0.0126338918123213	0.0447084860225938	0.000254445485483715	0	0	0	0	0.0143972039466481	0.0116750865576457	0	0.00688925923568236	0.010456543573589	0	0.00570076703992323	0.0246251942603188	0	0	0	0.0392395277613447	0.0795629890223115	0	0	0.0712739317916971	0.00217092982030168	0.0224401017826669	0	0	0.00241925007781569	0	0.0214719737466303	0.00492767165787236	0	0	0.18816993569423	0.0234934239856425	0	0.0402949493629899	0	0	0	0.0154026946097827	0	0.583575965819572	0.812909443944936
GTEX.11DXX.0626.SM.5Q5AG	0	0.0391069965085837	0.0656815055378407	0	0.061432573496767	0.007475659630759	0.000576070949983151	0	0.00401731018895731	0	0.0237527556323026	0	0	0	0.0174295937423143	0.0212892967018063	0.00041105301891007	0.0721099604558631	0	0.00309985299484373	0	0	0	0	0.00509455937204944	0.00559849067664913	0.00365977602788463	0.005168951348529	0.0028998834046	0.0226384694558298	0.0324814440579734	0	0	0.00347833879124024	0	0.112729820502644	0	0	0.0509843081229638	0.000722448733349742	0.051816626229072	0	0	0	0	0.0249090511343567	0.00934230640159779	0	0	0.254750354628183	0.0391567217362165	0	0.0344569613770847	0	0.000316500681165576	0.0234123584596795	0	0	0.817774930735312	0.576725327082505
GTEX.11DXZ.0726.SM.5N9C4	0.00674739019580933	0.0369443934584981	0	0.00169633070897003	0.0740311632253439	0	0.0045878908365437	0	0.00326843972125196	0	0	0.00624569956967145	0	0.0103812215022015	0	0.0323953100947664	0.00190374921406147	0.0982196505617914	0.0257470121628978	0	0.0627880133487833	0	0	0.0168275309341378	0	0	0	0.0100587852212248	0.0151312790949485	0.0209854812271248	0.00585754573878825	0	0.0118205090393802	0	0.0230012775119726	0.0483769105471463	0	0	0.0490855667820762	0.00273905346901697	0.184357034921323	0	0.0623471077307747	0	0	0.0273765772183293	0.00870826004901083	0.0283888813670491	0	0.0875529548872322	0	0	0.0207752258758381	0	0	0	0.0116537537840363	0	0.600675252721874	0.80384654404197
