genes	cluster
A2M.AS1	1
A4GALT	1
ABCB1	1
ABI2	1
ABLIM2	1
AC000068.9	1
AC000123.3	1
AC000123.4	1
AC003973.3	1
AC004383.3	1
AC004623.3	1
AC004985.12	1
AC005104.3	1
AC005253.2	1
AC005306.3	1
AC005387.2	1
AC005618.6	1
AC005682.6	1
AC005754.8	1
AC006145.4	1
AC006946.16	1
AC007283.4	1
AC009404.2	1
AC011247.3	1
AC021188.4	1
AC025165.8	1
AC058791.1	1
AC064875.2	1
AC067945.4	1
AC068831.6	1
AC073072.5	1
AC079779.4	1
AC093390.1	1
AC093609.1	1
AC093673.5	1
AC093838.4	1
AC108142.1	1
AC145676.2	1
ACAD11	1
ADAMTS9.AS2	1
ADAMTSL2	1
ADCY10	1
ADCY3	1
ADCY5	1
ADCYAP1	1
ADM	1
AEBP1	1
AF129075.5	1
AFF1	1
AGAP7P	1
AGO2	1
AHDC1	1
AK3	1
AKAP6	1
AKAP8L	1
AKNA	1
AKT3	1
AL590762.11	1
ALG13	1
ALPK2	1
ANGPTL8	1
ANKDD1A	1
ANKH	1
ANKRD10	1
ANKRD13B	1
ANKRD20A1	1
ANKRD62	1
ANKS1B	1
ANKZF1	1
ANO1	1
ANTXR1	1
AP000692.9	1
AP000892.6	1
APBA2	1
APBB1	1
APOA1.AS	1
APOBEC3H	1
APOD	1
APOL3	1
ARHGAP15	1
ARHGAP17	1
ARHGAP26	1
ARHGDIG	1
ARHGEF12	1
ARHGEF17	1
ARHGEF25	1
ARHGEF7	1
ARID1B	1
ARID4B	1
ARID5A	1
ARID5B	1
ARNT	1
ASAP1	1
ASAP1.IT2	1
ATG12	1
ATG2A	1
ATN1	1
ATP10D	1
ATP11C	1
ATP1B3.AS1	1
ATP8B2	1
ATRX	1
ATXN2	1
ATXN7	1
AURKC	1
B3GAT1	1
BACH2	1
BAMBI	1
BAZ2A	1
BBX	1
BCAS3	1
BCL2	1
BEGAIN	1
BEND4	1
BGN	1
BHLHE22	1
BICD1	1
BICD2	1
BNIP3P30	1
BRDT	1
BRSK1	1
BRSK2	1
BRWD1	1
C10orf10	1
C16orf45	1
C16orf52	1
C17orf107	1
C19orf66	1
C1orf198	1
C1orf54	1
C1S	1
C20orf202	1
C2orf40	1
C4orf3	1
C7orf61	1
C8orf88	1
C9orf172	1
C9orf3	1
C9orf47	1
CA5B	1
CAB39L	1
CACNA1C	1
CACNA1H	1
CACNA2D1	1
CACNB3	1
CALCOCO2	1
CALD1	1
CAMK2N1	1
CAMK4	1
CAMSAP2	1
CASP1P2	1
CASR	1
CBARP	1
CBLB	1
CCDC144NL.AS1	1
CCDC150P1	1
CCDC3	1
CCNH	1
CCR10	1
CD28	1
CD5	1
CD6	1
CD72	1
CD96	1
CDC37L1	1
CDC42EP5	1
CDKN1A	1
CDKN1B	1
CDKN2A	1
CDR2	1
CEP68	1
CERK	1
CFD	1
CFH	1
CFLAR.AS1	1
CH17.13I23.3	1
CHIC2	1
CHRD	1
CHRDL1	1
CILP2	1
CLEC2D	1
CLIC4	1
CLIP3	1
CLK1	1
CNN3	1
CNOT6L	1
CNRIP1	1
COL10A1	1
COL4A2.AS1	1
COLGALT2	1
COMP	1
COX4I2	1
CPE	1
CPED1	1
CPLX1	1
CPNE7	1
CPXM2	1
CREM	1
CRLF2	1
CRTC2	1
CRTC3	1
CSDC2	1
CSNK1E	1
CSPG4	1
CSRP2	1
CTA.268H5.12	1
CTB.47B11.3	1
