genes	cluster
A1BG	1
A2M-AS1	1
ABLIM2	1
AC003090.1	1
AC003973.3	1
AC004623.3	1
AC005618.6	1
AC005754.8	1
AC006946.16	1
AC021188.4	1
AC067945.4	1
AC090587.4	1
AC093609.1	1
AC139100.4	1
ACER2	1
ADAMTSL2	1
ADCY1	1
ADCY5	1
ADD1	1
ADRA2C	1
ADSSL1	1
AEBP1	1
AFF1	1
AGAP7P	1
AGT	1
AHDC1	1
AKT3	1
ANKRD37	1
ANKRD62	1
ANTXR2	1
APOD	1
ARHGAP10	1
ARHGDIG	1
ARHGEF17	1
ARHGEF25	1
ASIP	1
ASPN	1
ATP10D	1
ATP8B2	1
B3GAT1	1
BARX1	1
BEGAIN	1
BEND4	1
BHLHE22	1
BRSK1	1
BRSK2	1
BTNL9	1
C10orf10	1
C14orf180	1
C16orf45	1
C20orf202	1
C2orf40	1
C7orf61	1
C9orf172	1
CA3	1
CAB39L	1
CACNA1H	1
CACNA2D3-AS1	1
CALCOCO2	1
CALD1	1
CASR	1
CBLB	1
CBX7	1
CCR10	1
CD72	1
CDC42EP5	1
CDHR5	1
CDKN1B	1
CDKN2A	1
CDO1	1
CEACAM20	1
CECR7	1
CEP68	1
CFD	1
CHRD	1
CHST3	1
CHST7	1
CILP2	1
CLIP3	1
COL10A1	1
COL21A1	1
COLGALT2	1
COMP	1
COX4I2	1
CPE	1
CPED1	1
CPNE7	1
CPXM2	1
CRYAB	1
CSDC2	1
CSRP2	1
CTB-47B11.3	1
CTC-455F18.1	1
CTC-463A16.1	1
CTD-2201E18.5	1
CTD-2314G24.2	1
CTD-2366F13.2	1
CTD-2525P14.5	1
CYP3A7	1
CYP8B1	1
CYSLTR2	1
DACT3	1
DAPL1	1
DDB2	1
DKK3	1
DLG2	1
DLX5	1
DMPK	1
DNAJB4	1
DOK6	1
DPEP1	1
DPF1	1
DPT	1
DRD4	1
DSE	1
DUX4L26	1
DUXAP10	1
DUXAP8	1
EBF1	1
EBF2	1
EBF4	1
EDA2R	1
EFHD1	1
EGLN3	1
ELAVL3	1
ELMO1	1
ELN	1
ELOA2	1
EPHA5	1
EPHA6	1
EPHA7	1
EYA2	1
EYA4	1
F8	1
FAM133CP	1
FAM153B	1
FAM153C	1
FAM180A	1
FAM193B	1
FAM196A	1
FAM229A	1
FAM46A	1
FAM95B1	1
FBLN5	1
FBXO17	1
FBXO31	1
FBXO32	1
FBXW7	1
FGF14	1
FGF17	1
FHL1	1
FLJ21408	1
FMO3	1
FOXC2	1
FOXD2	1
FOXL1	1
FOXO3	1
FRZB	1
FST	1
FXYD1	1
GABRD	1
GAS6	1
GAS6-AS2	1
GATA5	1
GDF5	1
GDF7	1
GDNF	1
GDNF-AS1	1
GEM	1
GLB1L3	1
GLIS1	1
GNRH1	1
GPAA1P1	1
GPAA1P2	1
GPM6B	1
GPX3	1
GRAMD3	1
GRM2	1
GXYLT1P3	1
H2AFJ	1
HAND2-AS1	1
HEBP2	1
HES7	1
HMGB3P7	1
HOXB2	1
HOXB3	1
HOXB4	1
HOXB5	1
HOXB6	1
HOXB-AS3	1
HSPA1B	1
HSPA4L	1
HSPB1	1
HSPB6	1
HSPB7	1
IDO1	1
IGFBP3	1
IGFBP7	1
IGSF21	1
IL13	1
IL20RB	1
ILDR2	1
INMT	1
IQSEC1	1
IQSEC3	1
ISCU	1
ITGA1	1
ITGB5	1
ITGBL1	1
ITIH3	1
ITPR1	1
JADE2	1
JPH4	1
KALRN	1
KB-1460A1.5	1
KB-1517D11.4	1
KCNA5	1
KCNE4	1
KCNMB2-AS1	1
KIF7	1
KLC1	1
KLF17	1
KLHL30-AS1	1
LA16c-60H5.7	1
LAMC3	1
LCAT	1
LCN10	1
LDB3	1
