sample	Capillary Aerocyte	Capillary	IGSF21+ Dendritic	Myeloid Dendritic Type 1	Plasmacytoid Dendritic	Myeloid Dendritic Type 2	B	EREG+ Dendritic	Macrophage	CD8+ Naive T	CD4+ Naive T	CD4+ Memory/Effector T	Vein	Artery	Pericyte	Vascular Smooth Muscle	Club	Mucous	Alveolar Epithelial Type 2	Basal	Lymphatic	Proliferating Macrophage	CD8+ Memory/Effector T	Proliferating NK/T	Natural Killer T	Natural Killer	Basophil/Mast 1	Classical Monocyte	Nonclassical Monocyte	Airway Smooth Muscle	Ciliated	Alveolar Fibroblast	Myofibroblast	Adventitial Fibroblast	Alveolar Epithelial Type 1	Platelet/Megakaryocyte	TREM2+ Dendritic	Differentiating Basal	Proliferating Basal	Plasma	Bronchial Vessel 2	Bronchial Vessel 1
GTEX.111CU.0326.SM.5GZXO	0.003001435	0.238022559	0	0	0	0	0	0	0	0	0	0	0.013979477	0	0.252185366	0.021195435	0	0	0.00309727	0	0.000987014	0.008551391	0	0	0	0	0	0	0	0	5.04E-05	0.186080124	0	0.023668632	0.130979742	0.024473762	0.001945488	0	0.001078991	5.37E-05	0.090649294	0
GTEX.111FC.1126.SM.5GZWU	0.081116655	0.256430575	0.015319909	0	0	0	0	0	0	0	0	0	0	0	0.18536489	0.01140754	0	0	0	0	0.000479885	0	0	0	0	0	0	0	0	0	0.015849862	0.39130804	0	0	0.030909107	0.011306939	0	0	0	0.000506597	0	0
GTEX.111VG.0726.SM.5GIDC	0.08532311	0.126644814	0	0	0	0	0	0	0	0	0	0	0	0	0.076368812	0.138722356	0	0	0	0	0.002019816	0	0	0	0	0	0	0	0	0	0.016551437	0.486270389	0	0.035284798	0.018387171	0.01194112	0	0	0	0	0.002486177	0
GTEX.111YS.0626.SM.5GZXV	0.130173399	0.268955326	0	0	0	0	0	0	0	0	0	0	0	0	0.24567763	0	0	0	0.043735799	0	0	0.001827225	0	0	0	0	0	0	0	0	4.99E-06	0.200328054	0	0	0.093186054	0.015853361	0.000258169	0	0	0	0	0
GTEX.1122O.0126.SM.5GICA	0.063019706	0.318083367	0	0	0	0	0	0	0.000290012	0	0	0	0	1.36E-05	0.317434994	0.028827795	0	0	0.025922564	0	0.000900999	0.004581177	0	0.000301972	0	0	0	0	0	0	0.000288742	0.103877043	0	0	0.087813331	0.047857055	0	0	0.000432627	0.000355002	0	0
GTEX.1128S.0726.SM.5N9D6	0.03094409	0.338289254	0	0	0	0	0	0	0	0	0	0	1.59E-06	0	0.247937406	0	0	0	0	0	0.001103588	0	0	0	0	0	0	0	0	0	0.02162504	0.270678774	0	0.043486519	0.012350723	0.031490431	0.001939394	0	0	0.000153188	0	0
GTEX.117YW.0526.SM.5H11C	0.113925922	0.131858996	0.004870293	0	0	0	0	0	0	0	0	0	0.000602976	0.00326295	0.198945053	0.04765767	0	0	0.000316873	0	0.021399866	0.000203057	0	0	0	0	0	0	0	0	0.000835597	0.347588649	0	0.106478864	0.004048619	0.004997785	0.011730765	0	0	0.001276065	0	0
GTEX.117YX.1326.SM.5H125	0.113739221	0.187789227	0	0	0	0	0	0	0	0	0	0	0	0	0.340410693	0	0	0	0.045168369	0	0	0.00672487	0	0	0	0	0	0	0	0	0.000432294	0.174927522	0	0	0.109782049	0.017279803	0.003266728	0	0	0.000479225	0	0
GTEX.11DXX.0626.SM.5Q5AG	0.057887836	0.151253166	0.015216584	0	0	0	0	0	0	0	0	0	0	0.001081109	0.331228871	0.157113162	0	0	0.058707577	0	0.000291431	0.004393934	0	0	0	0	0	0	0	0	0.000164036	0.117491345	0	0	0.080825562	0.02032769	0.003974394	0	3.04E-05	1.29E-05	0	0
GTEX.11DXZ.0726.SM.5N9C4	0.016362839	0.134605202	0	0	0	0	0	0	0	0	0	0	0	0	0.411312795	0.004143994	0	0	0.037837474	0	0.00508488	0.012418966	0	0.018130202	0	0	0	0	0	0	0.005878276	0.127350728	0	0.042368806	0.12127475	0.039255497	0.009039453	0	0.014837536	9.86E-05	0	0
