Age	20-29	30-39	40-49	50-59	60-69	70-79
Capillary.Aerocyte	-0.3545387	-0.2224863	-0.1464683	-0.2797314	-0.2083024	-0.7024364
Capillary	-0.410550727	-0.30837616	-0.056024785	0.034600858	-0.005319522	0.113618949
IGSF21..Dendritic	-0.6227416	-0.6227416	-0.6227416	-0.6227416	-0.3607841	-0.5636956
Myeloid.Dendritic.Type.1	NA	NA	NA	NA	NA	NA
Plasmacytoid.Dendritic	-0.04159452	-0.04159452	-0.04159452	-0.04159452	-0.04159452	-0.04159452
Myeloid.Dendritic.Type.2	-0.04159452	-0.04159452	-0.04159452	-0.04159452	-0.04159452	-0.04159452
B	NA	NA	NA	NA	NA	NA
EREG..Dendritic	NA	NA	NA	NA	NA	NA
Macrophage	-0.08173793	-0.08173793	-0.08173793	-0.08173793	-0.08173793	-0.08173793
CD8..Naive.T	NA	NA	NA	NA	NA	NA
CD4..Naive.T	NA	NA	NA	NA	NA	NA
CD4..Memory.Effector.T	NA	NA	NA	NA	NA	NA
Vein	-0.212682	-0.212682	-0.212682	-0.212682	-0.212682	-0.212682
Artery	-0.3697996	-0.3862232	-0.3862232	-0.3862232	-0.3862232	-0.3834873
Pericyte	0.56259953	0.41472024	0.16609502	0.09534051	-0.37182742	-0.14792364
Vascular.Smooth.Muscle	-0.63600461	-0.36801438	-0.3303576	-0.356872	0.02272457	0.11385029
Club	-0.04858083	-0.04858083	-0.04858083	-0.04858083	-0.04858083	-0.04858083
Mucous	-0.1658006	-0.1658006	-0.1658006	-0.1658006	-0.1658006	-0.1658006
Alveolar.Epithelial.Type.2	0.09852669	0.13494814	-0.11163061	-0.43888159	-0.68433016	-0.70046896
Basal	-0.04211045	-0.04211045	-0.04211045	-0.04211045	-0.04211045	-0.04211045
Lymphatic	-0.38274442	-0.24109618	-0.27067044	-0.33195189	-0.29499247	0.02115896
Proliferating.Macrophage	0.360925	0.1842486	-0.1400777	-0.2678842	-0.6243311	-0.4676384
CD8..Memory.Effector.T	NA	NA	NA	NA	NA	NA
Proliferating.NK.T	-0.3133425	-0.3133425	-0.3133425	-0.3133425	-0.3133425	-0.3133425
Natural.Killer.T	NA	NA	NA	NA	NA	NA
Natural.Killer	-0.04619129	-0.04619129	-0.04619129	-0.04619129	-0.04619129	-0.04619129
Basophil.Mast.1	-0.2212002	-0.2212002	-0.2212002	-0.2212002	-0.2212002	-0.2212002
Classical.Monocyte	-0.1257149	-0.1257149	-0.1257149	-0.1257149	-0.1257149	-0.1257149
Nonclassical.Monocyte	-0.0766038	-0.0766038	-0.0766038	-0.0766038	-0.0766038	-0.0766038
Airway.Smooth.Muscle	NA	NA	NA	NA	NA	NA
Ciliated	-0.3433904	-0.160992	-0.328716	-0.4226726	-0.4487419	-0.4927271
Alveolar.Fibroblast	-0.58304573	-0.78403896	-0.08869374	-0.2218008	0.22109946	0.24374921
Myofibroblast	-0.1566069	-0.1566069	-0.1566069	-0.1566069	-0.1566069	-0.1566069
Adventitial.Fibroblast	-0.3641302	-0.2686212	-0.4458112	-0.3885666	-0.404422	-0.4383002
Alveolar.Epithelial.Type.1	0.83124513	0.51357006	-0.07847704	0.03222691	-0.36711246	-0.46338589
Platelet.Megakaryocyte	0.370222007	0.260970468	0.007374808	-0.098004075	-0.23163357	-0.429315033
TREM2..Dendritic	-0.3444075	-0.3603318	-0.487656	-0.4503216	-0.5402461	-0.4494894
Differentiating.Basal	-0.06895947	-0.06895947	-0.06895947	-0.06895947	-0.06895947	-0.06895947
Proliferating.Basal	0.4373171	-0.3495415	-0.447779	-0.447779	-0.447779	-0.447779
Plasma	-0.3277444	-0.2945932	-0.3208631	-0.3943365	-0.35584	-0.440316
Bronchial.Vessel.2	-0.3460223	-0.3460223	-0.3460223	-0.3460223	-0.3460223	-0.3460223
Bronchial.Vessel.1	-0.05130348	-0.05130348	-0.05130348	-0.05130348	-0.05130348	-0.05130348
