"Cell"	"KW_pval"
"aDC"	"0.051751965936287"
"Adipocytes"	"1.32162821621695e-05"
"Astrocytes"	"0.0231056427434152"
"B-cells"	"0.211840111892611"
"Basophils"	"0.0963114002885099"
"CD4+ memory T-cells"	"0.0848653582587851"
"CD4+ naive T-cells"	"0.0111215570523565"
"CD4+ T-cells"	"0.328389124555234"
"CD4+ Tcm"	"1.71267672409678e-07"
"CD4+ Tem"	"0.58821833318116"
"CD8+ naive T-cells"	"0.794892373937489"
"CD8+ T-cells"	"0.0466204312349531"
"CD8+ Tcm"	"0.338601712295317"
"CD8+ Tem"	"0.0473320858909452"
"cDC"	"0.08834870031613"
"Chondrocytes"	"1.92282609419567e-08"
"Class-switched memory B-cells"	"0.126638628074072"
"CLP"	"0.00027127677161449"
"CMP"	"4.2802786911182e-05"
"DC"	"0.0224905015234797"
"Endothelial cells"	"0.000432865953753248"
"Eosinophils"	"0.00128704164387098"
"Epithelial cells"	"1.0104789466692e-08"
"Erythrocytes"	"0.00795327737567295"
"Fibroblasts"	"2.72176744967456e-13"
"GMP"	"0.120481414271025"
"Hepatocytes"	"0.130296486638337"
"HSC"	"0.00642672533643418"
"iDC"	"0.00613230614642611"
"Keratinocytes"	"2.90199012380575e-06"
"ly Endothelial cells"	"1.95532135442712e-05"
"Macrophages"	"1.11882322563854e-07"
"Macrophages M1"	"3.36132500212184e-09"
"Macrophages M2"	"0.0339701141382781"
"Mast cells"	"0.737301168987437"
"Megakaryocytes"	"0.0544035415637061"
"Melanocytes"	"0.000410370378779183"
"Memory B-cells"	"0.399990448551525"
"MEP"	"0.0643605474277781"
"Mesangial cells"	"5.36531887576984e-06"
"Monocytes"	"0.271243125413953"
"MPP"	"0.537353431764229"
"MSC"	"0.0578194724052504"
"mv Endothelial cells"	"0.00980414874840632"
"Myocytes"	"0.958874104025116"
"naive B-cells"	"0.226992066423132"
"Neurons"	"2.63665364418141e-10"
"Neutrophils"	"0.448573730476118"
"NK cells"	"0.440816563599001"
"NKT"	"0.674291847415605"
"Osteoblast"	"0.014295186911854"
"pDC"	"0.450869538830375"
"Pericytes"	"6.22743324026944e-06"
"Plasma cells"	"0.149354104195879"
"Platelets"	"0.523979477437801"
"Preadipocytes"	"0.0965989813063606"
"pro B-cells"	"0.762528228258624"
"Sebocytes"	"1.24679189905678e-06"
"Skeletal muscle"	"0.541547952261366"
"Smooth muscle"	"0.163944982606691"
"Tgd cells"	"0.73178534465499"
"Th1 cells"	"9.17789501938969e-06"
"Th2 cells"	"0.137080766332965"
"Tregs"	"0.0206556989328664"
"ImmuneScore"	"0.777191610098087"
"StromaScore"	"1.33398711250607e-11"
"MicroenvironmentScore"	"0.00146237643090747"
