"Partner"	"Pair"	"theta"	"theta_e"	"theta_f"	"theta_g"	"lrv"	"lrv1"	"lrv2"	"lrv3"	"lrv4"	"lrv5"	"lrv6"	"lrm"	"lrm1"	"lrm2"	"lrm3"	"lrm4"	"lrm5"	"lrm6"	"p"	"p1"	"p2"	"p3"	"p4"	"p5"	"p6"	"Zeros"	"theta_mod"	"Fstat"	"Pval"	"FDR"
"Alveolar Fibroblast"	"Alveolar Epithelial Type 2"	0.914553319098367	0.621721163691945	0.378278836308055	0.0325786770868467	4.73209216427755	5.10336216760017	3.82590371087387	5.87148637142965	4.24494149450981	4.32873095235786	4.11812228317413	NA	0.47358484866539	1.38804696000125	-0.715032546697471	-0.586579078905998	0.139699179324104	1.48177302063032	3855494.60833513	1077737.54561285	1803895.20181039	165673.344835586	140021.598319132	433387.069221118	204184.422980327	133	0.914372775601306	54.0787195498574	5.31537272098921e-46	2.80651679668231e-43
"Alveolar Epithelial Type 2"	"Vascular Smooth Muscle"	0.917225952717996	0.648196340666392	0.351803659333608	0.0204565121749587	7.11076330203759	7.69567634583283	5.81117028554084	6.30528725177695	3.43966907229079	7.42271576887013	7.17425149740619	NA	0.232549470943303	-0.93074037422194	1.21137027338027	1.58095580954118	0.593153534876553	-1.09209150839586	10012620.8120107	3064763.83900507	4310232.94821472	442873.685050885	423427.362106889	1190793.26613981	499471.985209879	192	0.917044116720532	52.2389913999972	1.18900206028339e-44	3.13896543914816e-42
"Alveolar Epithelial Type 1"	"Alveolar Fibroblast"	0.920160870075024	0.63542405622877	0.36457594377123	0.0346525489442778	0.974498916969302	0.801948534606877	1.00646592490484	1.07944068124641	1.08125712800745	0.791627927468919	0.772876622252377	NA	-0.420782373798419	-0.815758654356088	0.109288537326769	0.190831128987004	-0.401121942462861	-0.938099646181131	1419377.11912851	463875.776173697	501035.033241494	92618.7534596466	72706.6744884055	214682.231205236	62016.0605810302	10	0.920061800819418	50.173590481574	4.05106993508432e-43	7.1298830857484e-41
"Alveolar Epithelial Type 2"	"Capillary"	0.924267522424006	0.629456496678373	0.370543503321627	0.0365364913062285	4.21546665173606	4.83936813525329	3.26531633355253	5.34864786974731	4.34576053678258	3.81781423521639	4.03722674840585	NA	-0.393785249276888	-1.14672985659484	0.681371086184926	0.67374564646634	-0.0512151822232121	-1.37645014276901	4702299.91178633	1296165.10288787	2249416.75340923	186528.281110589	166654.494115688	524928.192286285	242126.496877106	133	0.924107751668669	47.4255773118741	4.73426428126602e-41	6.24922885127115e-39
"Alveolar Epithelial Type 2"	"IGSF21+ Dendritic"	0.92582172133202	0.607800624266537	0.392199375733463	0.0381180647449257	9.42469139109748	8.90999856373878	7.63838787741847	9.05009155250634	9.06085705695916	10.4583815248383	10.8465841439063	NA	0.256209950083839	-1.0412404354057	1.56100961276468	1.12006280788719	0.493172743581178	-0.971148485737638	74377711.1313803	30855970.5762904	20000573.1669121	9120135.4008556	4105623.34998804	7155159.13098692	2463472.96971532	411	0.925654341932706	46.3814784161192	2.94899827188357e-40	3.11414217510905e-38
"Proliferating Macrophage"	"Vascular Smooth Muscle"	0.930353905191229	0.55449666312212	0.44550333687788	0.0112628706655877	5.47317036949228	5.33735077989268	4.68710819417789	3.9540835324858	3.14008340846343	7.39003909549424	5.16579224103364	NA	0.244597748189194	-0.830125374513129	0.896099350347418	1.62983120281809	0.403507830218074	-0.437873258516573	110260160.343145	29773837.7355881	57359263.9260182	3139081.58311398	2164539.42104419	11814848.8827364	5257551.23235868	197	0.930201752479535	43.3316459089934	6.58651876258319e-38	5.79613651107321e-36
"Alveolar Fibroblast"	"Proliferating Macrophage"	0.934901646548764	0.512029394150267	0.487970605849733	0.0121374594903135	3.67598326206998	4.08420056580734	3.22064909664139	2.96266414155118	2.68664360792698	3.91174909195782	2.71114468734689	NA	0.493753335594254	1.32317143076127	-0.357723446894067	-0.607201538964173	0.365509722819673	0.853388093071737	43101298.3276254	10470099.65213	24005686.5182603	1174290.01347535	715783.382186968	4299993.01824936	2149289.84298804	138	0.934765001070772	40.3010198586638	1.56996646873091e-35	1.18420327927132e-33
"Alveolar Epithelial Type 2"	"Capillary Aerocyte"	0.935401677264225	0.593536025518872	0.406463974481128	0.0316294781694787	5.23253810309919	5.68778124852507	4.52371954776933	6.12072077853154	4.73363750843903	4.24273420347488	5.47429491631428	NA	0.0981664789251575	-0.71660148807954	1.09861191037565	1.11428852084876	0.553628925976817	-0.589325961943882	10565925.071171	2882769.95613103	4967596.50587283	411799.693732632	369417.066587588	1259186.60310726	590946.190936657	163	0.93526030617084	39.9738482011841	2.85198650555588e-35	1.88231109366688e-33
"Alveolar Epithelial Type 1"	"Vascular Smooth Muscle"	0.935842517060279	0.682583750601146	0.317416249398854	0.0429256155263825	2.75783670464552	2.46877793181695	2.74832856994282	1.8219106036597	2.0237431492194	2.9706189227621	3.33192155323142	NA	0.286263574216483	-0.381043651250611	0.622557219815256	1.21020693016673	0.339238625047767	-0.573325275245845	3758620.53354255	1319124.22499778	1197174.70633549	247586.047654194	219866.047493784	589870.287866465	151702.487590289	69	0.935714017534251	39.6744550655842	4.92998501689282e-35	2.89225787657712e-33
"Alveolar Epithelial Type 1"	"Capillary"	0.935975753914944	0.689381837759471	0.310618162240529	0.0589255656113365	0.726819192149063	0.675261861444343	0.622191576083956	0.908009688426934	0.863194919248374	0.625986034809539	1.00277585788609	NA	-0.336286225354641	-0.559847741873422	0.0757556008575629	0.278404910278196	-0.308986957095755	-0.822884181740942	1721859.09889336	557890.550996314	624779.419939298	104277.588519613	86535.8930418925	260027.960098307	73540.0442376055	10	0.93591804190865	39.5399189388233	6.30666418955098e-35	3.32991869208292e-33
