Age	20-29	30-39	40-49	50-59	60-69	70-79
aDC	-0.34503197	-0.11338517	-0.45424655	0.06050928	-0.16584741	0.28457764
Adipocytes	0.1018735	0.1330342	-0.1050726	-0.2557609	-0.7540832	-0.8088513
Astrocytes	-0.71234504	-0.71234504	-0.71234504	-0.698331479	-0.346824757	-0.002735693
B-cells	-0.2634298	-0.2634298	-0.2634298	-0.2634298	-0.2634298	-0.2634298
Basophils	-0.41481819	-0.279560839	-0.278532241	-0.19429929	-0.005688082	-0.110662208
CD4+ memory T-cells	-0.2390941	-0.2390941	-0.2390941	-0.2390941	-0.2390941	-0.2390941
CD4+ naive T-cells	-0.58343627	-0.48168901	-0.35065283	-0.15577772	0.03095527	-0.1757349
CD4+ T-cells	-0.1059085	-0.1059085	-0.1059085	-0.1059085	-0.1059085	-0.1059085
CD4+ Tcm	-0.84959281	-0.84959281	-0.67461742	-0.27541473	0.08265675	-0.36169357
CD4+ Tem	-0.3646249	-0.3646249	-0.3646249	-0.3646249	-0.3646249	-0.3646249
CD8+ naive T-cells	-0.4506035	-0.4506035	-0.4506035	-0.4506035	-0.4506035	-0.4506035
CD8+ T-cells	-0.4624541	-0.4624541	-0.4624541	-0.4624541	-0.4624541	-0.4624541
CD8+ Tcm	-0.5032075	-0.4195913	-0.4112976	-0.315211	-0.2056639	-0.6535307
CD8+ Tem	-0.50866	-0.50866	-0.50866	-0.50866	-0.50866	-0.50866
cDC	-0.06207375	-0.17648249	-0.25039054	-0.28428721	-0.41310494	-0.11753693
Chondrocytes	-1.04546572	-0.5220999	-0.32756966	-0.08172794	0.09423677	0.18799406
Class-switched memory B-cells	-0.389791701	-0.512639214	-0.668331908	-0.372592941	-0.43933393	0.008932813
CLP	0.38599657	0.28953782	0.01370373	-0.3454182	-0.46713337	-0.41755203
CMP	-0.6543112	-0.2633943	-0.6314078	-0.4555788	-0.1514156	-0.4324541
DC	0.1161983	0.19223861	-0.14467074	-0.13037379	-0.3746942	-0.06990114
Endothelial cells	-0.30889306	-0.54195425	-0.01940308	0.01118602	0.26887656	0.45109446
Eosinophils	-0.6597416	-0.4723166	-0.6597416	-0.4974294	-0.2033896	-0.4978867
Epithelial cells	0.9343358	0.7900415	0.3102075	0.2252339	-0.359792	-0.6708189
Erythrocytes	-0.2866439	-0.2866439	-0.2866439	-0.2866439	-0.2866439	-0.2866439
Fibroblasts	-0.7457143	-0.9452416	-0.4476312	-0.1525014	0.3661287	0.5091367
GMP	-0.22440942	-0.08947372	-0.46171384	-0.32726431	-0.24323483	-0.34747467
Hepatocytes	-0.24101891	-0.13413945	-0.06622806	-0.0828137	0.05424488	0.04481685
HSC	-0.28738311	-0.0825908	-0.06521145	0.01413616	0.29614613	0.15140835
iDC	0.3059728	0.226984	0.1529065	-0.1176801	-0.326022	0.4620212
Keratinocytes	0.53996011	0.53825177	0.15321354	-0.03886573	-0.45455004	-0.63316318
ly Endothelial cells	-0.4710784	-0.6897642	-0.2235593	-0.1297144	0.2640463	0.4636155
Macrophages	0.57876881	0.21553774	-0.07757664	-0.02160593	-0.44970638	-0.18916573
Macrophages M1	0.7105535	0.1834411	-0.2115005	-0.1752171	-0.7700379	-0.352647
Macrophages M2	0.0416083	-0.05246751	-0.16597172	0.07510931	-0.23401799	-0.25049804
Mast cells	-0.330697063	-0.008318251	-0.114433147	-0.170263543	-0.039649597	-0.166371107
Megakaryocytes	-0.243182122	-0.004438526	-0.291176998	-0.319631848	-0.056867837	0.119995757
Melanocytes	0.3732037	0.3185722	0.1635743	0.1486708	-0.3961456	-0.6872781
Memory B-cells	-0.09834633	-0.09834633	-0.09834633	-0.09834633	-0.09834633	-0.09834633
MEP	0.27092038	0.21266733	0.18054178	-0.04020975	-0.13036942	-0.08004587
Mesangial cells	-0.5570542	-0.6718505	-0.4200384	-0.1771443	0.1661781	0.2327122
Monocytes	0.04788444	0.0617845	0.07870298	-0.05330467	-0.17510067	-0.31568552
MPP	-0.04656588	-0.04656588	-0.04656588	-0.04656588	-0.04656588	-0.04656588
MSC	-0.4831278	-0.4121029	-0.5497062	-0.5497062	-0.5497062	-0.5497062
mv Endothelial cells	-0.27203855	-0.43709172	0.01149457	-0.15398958	0.1299019	0.27185975
Myocytes	-0.26478479	-0.02359903	-0.17321477	-0.09122194	-0.09013698	-0.11943996
naive B-cells	-0.1800875	-0.1800875	-0.1800875	-0.1800875	-0.1800875	-0.1800875
Neurons	-0.7790183	-0.6223181	-0.5222015	-0.3312343	0.1227381	-0.1033945
Neutrophils	-0.4097088	-0.4375518	-0.2165785	-0.2608161	-0.129377	-0.3983973
NK cells	-0.221382	-0.221382	-0.221382	-0.221382	-0.221382	-0.221382
NKT	-0.12593592	-0.31101789	-0.04503231	-0.0765624	-0.12899832	0.27131265
Osteoblast	-0.3449057	-0.3449057	-0.3449057	-0.3449057	-0.3449057	-0.3449057
pDC	-0.4010501	-0.4010501	-0.4010501	-0.4010501	-0.4010501	-0.4010501
Pericytes	-0.3854931	-0.632448	-0.3722592	-0.1263488	0.1815345	0.7446701
Plasma cells	-0.4045202	-0.4045202	-0.4045202	-0.4045202	-0.4045202	-0.4045202
Platelets	-0.1608059	-0.1608059	-0.1608059	-0.1608059	-0.1608059	-0.1608059
Preadipocytes	-0.51378817	-0.49252337	-0.15235465	-0.08571532	0.07172602	0.37005559
pro B-cells	-0.06063321	-0.06063321	-0.06063321	-0.06063321	-0.06063321	-0.06063321
Sebocytes	0.521095223	0.540704953	0.044876671	0.009097175	-0.382366663	-0.767337408
Skeletal muscle	-0.1708662	-0.1708662	-0.1708662	-0.1708662	-0.1708662	-0.1708662
Smooth muscle	0.30756547	0.20599502	0.04312915	-0.09335661	-0.11644946	0.05588897
Tgd cells	-0.1215383	-0.1215383	-0.1215383	-0.1215383	-0.1215383	-0.1215383
Th1 cells	0.4557287	-0.0914833	-0.1699459	-0.3839533	-0.6846491	-0.3346283
Th2 cells	0.06161961	-0.46599948	-0.15154289	-0.33884441	-0.17337726	-0.52803445
Tregs	-0.3270317	-0.3270317	-0.3270317	-0.3270317	-0.3270317	-0.3270317
