gene	sars	age	category
CDKN1B	up	up	a
FST	up	up	a
MXI1	up	up	a
FBXW7	up	up	a
NFYB	up	up	a
GEM	up	up	a
N4BP3	up	up	a
CNOT6L	up	up	a
CCL20	up	down	b
CXCL1	up	down	b
HSPB1	down	up	c
DNAJB1	down	up	c
HSPA1A	down	up	c
NCKIPSD	down	up	c
LTBP3	down	up	c
CFD	down	up	c
AIFM1	down	down	d
NUP93	down	down	d
AHCY	down	down	d
DHFR	down	down	d
C1QBP	down	down	d
TYMS	down	down	d
CSE1L	down	down	d
MPDU1	down	down	d
PARP1	down	down	d
DCTPP1	down	down	d
NDUFA7	down	down	d
ENO1	down	down	d
CACYBP	down	down	d
PHB	down	down	d
AKR1A1	down	down	d
MTCH2	down	down	d
