refseq	gene	SARS_infectivity	Effect	pvalue	Cell_viability	adjp_RNA_age	Age_cluster
XM_290923	KIAA1639	88.1	Proviral	0.0401	93.5	NA	NA
NM_001123	ADK	123.2	Antiviral	0.0239	99.3	1.63E-08	2
NM_004217	AURKB	181.7	Antiviral	0.0016	98.7	6.27E-08	2
NM_152835	PDIK1L	146.7	Antiviral	0.0114	95.4	2.38E-07	2
NM_003948	CDKL2	163.3	Antiviral	0.0265	97.5	3.22E-07	2
NM_002447	MST1R	134.2	Antiviral	0.0042	98.3	1.64E-05	2
NM_006742	PSKH1	46	Proviral	0.0094	101.3	7.95E-05	2
NM_005546	ITK	154	Antiviral	0.0004	91.9	6.60E-08	1
NM_052947	ALPK2	154.4	Antiviral	0.013	95.5	1.22E-06	1
NM_004274	AKAP6	166.8	Antiviral	0.0068	95.6	2.14E-05	1
NM_004071	CLK1	199.5	Antiviral	0.0077	106.9	8.17E-05	1
NM_005192	CDKN3	146.4	Antiviral	0.0408	99.2	5.70E-05	2
NM_024838	THNSL1	122.5	Antiviral	0.0154	93.2	0.000368049	0
NM_001319	CSNK1G2	146.6	Antiviral	0.0046	91.3	0.000378281	0
NM_004080	DGKB	135.1	Antiviral	0.0136	96.1	0.001566129	0
NM_012395	CDK14	32.1	Proviral	0.0087	107	0.001657748	0
NM_001292	CLK3	156.9	Antiviral	0.0138	97.7	0.002069515	0
NM_002740	PRKCI	49	Proviral	0.0157	96.3	0.002755786	0
NM_001715	BLK	77.4	Proviral	0.0479	106.2	0.003135913	0
NM_138995	MYO3B	157.8	Antiviral	0.0087	92.3	0.005716656	0
NM_005406	ROCK1	132.3	Antiviral	0.0099	99.2	0.006631482	0
NM_020778	ALPK3	68.8	Proviral	0.0044	97	0.007303473	0
NM_033118	MYLK2	75.1	Proviral	0.0478	104.4	0.017275417	0
NM_004766	COPB2	18.2	Proviral	0.0143	95.5	0.019269006	0
NM_000162	GCK	180.8	Antiviral	0.0119	97.6	0.021130956	0
NM_000616	CD4	130.2	Antiviral	0.0199	95.2	0.025954144	0
NM_001565	CXCL10	78.4	Proviral	0.0191	98.1	0.026699275	0
NM_020397	CAMK1D	113.2	Antiviral	0.0292	87.9	0.031999458	0
NM_001204	BMPR2	162.8	Antiviral	0.0261	97	0.041988315	0
NM_001619	ADRBK1	137.3	Antiviral	0.0113	89.3	0.049315423	0
NM_000215	JAK3	141.4	Antiviral	0.0079	98	0.056843924	0
NM_002821	PTK7	143.1	Antiviral	0.0228	95.4	0.072206101	0
NM_003157	NEK4	137.6	Antiviral	0.0331	99.5	0.089584474	0
NM_005470	ABI1	34.6	Proviral	0.0055	101.1	0.124591498	0
NM_002512	NME2	43.3	Proviral	0.0027	93.2	0.182776563	0
NM_001259	CDK6	182.5	Antiviral	0.014	86.1	0.185928141	0
NM_004857	AKAP5	144.2	Antiviral	0.0134	96.1	0.225455805	0
NM_001700	AZU1	44.3	Proviral	0.0075	104	0.226987768	0
NM_022048	CSNK1G1	187.3	Antiviral	0.0067	99.8	0.234654906	0
NM_023018	NADK	54.4	Proviral	0.0027	96	0.25036869	0
NM_152534	NEK10	145.5	Antiviral	0.013	93.4	0.253515035	0
NM_002758	MAP2K6	191.2	Antiviral	0.0014	99.2	0.256541171	0
NM_005356	LCK	83	Proviral	0.0482	96.8	0.323530062	0
NM_016616	NME8	78.5	Proviral	0.0195	98.8	0.380465283	0
NM_001826	CKS1B	174.1	Antiviral	0.0298	99.6	0.384413246	0
NM_145025	AK9	124.1	Antiviral	0.0005	83.6	0.428617432	0
NM_015678	NBEA	143.7	Antiviral	0.001	92.9	0.477541447	0
NM_139158	CDK15	154.8	Antiviral	0.0327	85	0.48454861	0
NM_153273	IP6K1	45.1	Proviral	0.0405	98.6	0.485905155	0
NM_014840	NUAK1	148.3	Antiviral	0.0078	103.5	0.498802609	0
NM_005881	BCKDK	78.5	Proviral	0.0492	98.8	0.586225674	0
NM_024876	ADCK4	73.1	Proviral	0.0278	91.4	0.593840585	0
NM_004439	EPHA5	151.7	Antiviral	0.0385	100.4	0.636998777	0
NM_002082	GRK6	74	Proviral	0.049	92.3	0.667305189	0
NM_025144	ALPK1	136.4	Antiviral	0.0371	86.3	0.677554435	0
NM_020990	CKMT1A	144.7	Antiviral	0.0414	104.1	0.68707873	0
NM_000733	CD3E	138.2	Antiviral	0.0093	91.5	0.699541912	0
NM_004103	PTK2B	133.5	Antiviral	0.0339	88.7	0.708327531	0
NM_030768	ILKAP	125	Antiviral	0.0391	96.2	0.731933743	0
NM_000076	CDKN1C	74.1	Proviral	0.0451	102.9	0.738857201	0
NM_022784	IQCH	164.4	Antiviral	0.0004	101.7	0.742464072	0
NM_001105	ACVR1	169.1	Antiviral	0.0018	88.1	0.792258089	0
NM_001895	CSNK2A1	148.8	Antiviral	0.02	93.7	0.797989794	0
NM_017433	MYO3A	143.2	Antiviral	0.0091	91.2	0.817098991	0
NM_002253	KDR	75.3	Proviral	0.0173	91.2	0.830267413	0
NM_016508	CDKL3	137	Antiviral	0.0377	95.4	0.835705142	0
NM_004302	ACVR1B	128.9	Antiviral	0.0007	100.9	0.843272689	0
NM_003936	CDK5R2	24.8	Proviral	0.0251	98.4	0.844723482	0
NM_002461	MVD	152.3	Antiviral	0.0211	92.6	0.852404327	0
NM_032435	MAP3K21	83.1	Proviral	0.0397	96.2	0.902867671	0
NM_001824	CKM	75.3	Proviral	0.0492	106.3	0.90575705	0
NM_004717	DGKI	72.7	Proviral	0.0153	109.4	0.924476189	0
NM_001823	CKB	82.2	Proviral	0.0165	102.4	0.956561831	0
NM_001394	DUSP4	65.3	Proviral	0.0191	102.3	0.962537379	0
NM_003263	TLR1	124.2	Antiviral	0.0201	99.5	0.963530626	0
NM_003656	CAMK1	72.7	Proviral	0.0481	92.6	1	0
NM_013276	SHPK	58.7	Proviral	0.0341	94.9	1	0
NM_007194	CHEK2	131.6	Antiviral	0.0185	99.1	1	0
NM_020666	CLK4	174	Antiviral	0.0282	93.5	1	0
NM_005207	CRKL	147.4	Antiviral	0.0303	91.5	1	0
NM_004938	DAPK1	132.2	Antiviral	0.0162	73.1	1	0
NM_001348	DAPK3	151.2	Antiviral	0.0141	92.6	1	0
NM_004734	DCLK1	136.8	Antiviral	0.0463	89.8	1	0
NM_000788	DCK	161	Antiviral	0.0051	89.3	1	0
NM_001345	DGKA	76	Proviral	0.0106	101.1	1	0
NM_003648	DGKD	177.1	Antiviral	0.0135	89.5	1	0
NM_003646	DGKZ	141.2	Antiviral	0.0094	93.6	1	0
NM_001929	DGUOK	152.5	Antiviral	0.0007	100.8	1	0
NM_012145	DTYMK	148.9	Antiviral	0.0025	89.3	1	0
NM_004419	DUSP5	85.1	Proviral	0.0197	99.3	1	0
NM_001396	DYRK1A	142.4	Antiviral	0.0383	85.9	1	0
NM_004836	EIF2AK3	157.2	Antiviral	0.0014	92.4	1	0
NM_018638	ETNK1	151.9	Antiviral	0.0172	81.6	1	0
NM_004431	EPHA2	131	Antiviral	0.0091	93	1	0
NM_005233	EPHA3	182.7	Antiviral	0.0176	88.7	1	0
NM_004438	EPHA4	149.1	Antiviral	0.0138	101.9	1	0
NM_001982	ERBB3	113.7	Antiviral	0.028	86	1	0
NM_005246	FER	85.4	Proviral	0.0172	92.1	1	0
NM_018208	ETNK2	120.7	Antiviral	0.0472	91.8	1	0
NM_144610	SGK494	137.6	Antiviral	0.0367	96.7	1	0
NM_002020	FLT4	130.1	Antiviral	0.0031	89.6	1	0
NM_001465	FYB	155.6	Antiviral	0.0217	96.3	1	0
NM_002044	GALK2	145.2	Antiviral	0.0345	93.6	1	0
NM_033214	GK2	79.5	Proviral	0.0146	104.2	1	0
NM_000188	HK1	173.5	Antiviral	0.0318	95.6	1	0
NM_004690	LATS1	163.8	Antiviral	0.0074	103.7	1	0
NM_024652	LRRK1	74.1	Proviral	0.0131	91.5	1	0
NM_002755	MAP2K1	122.8	Antiviral	0.0444	97.8	1	0
NM_002756	MAP2K3	160.7	Antiviral	0.0369	93.5	1	0
NM_145185	MAP2K7	119.2	Antiviral	0.0373	92.2	1	0
NM_002446	MAP3K10	118.3	Antiviral	0.0166	108.7	1	0
NM_002419	MAP3K11	67.2	Proviral	0.0431	92.2	1	0
NM_002745	MAPK1	152.7	Antiviral	0.0042	86.9	1	0
NM_002752	MAPK9	163.2	Antiviral	0.0207	98.2	1	0
NM_015112	MAST2	134.9	Antiviral	0.0445	92.4	1	0
NM_003684	MKNK1	64.6	Proviral	0.037	95	1	0
NM_017572	MKNK2	149	Antiviral	0.0014	100.4	1	0
NM_002841	PTPRG	162.9	Antiviral	0.0259	98.3	1	0
NM_013257	SGK3	142	Antiviral	0.0459	85.3	1	0
NM_005904	SMAD7	54.3	Proviral	0.0276	100.5	1	0
NM_014011	SOCS5	51.1	Proviral	0.015	97.5	1	0
NM_003691	STK16	68.5	Proviral	0.0329	105.7	1	0
NM_003576	STK24	176.8	Antiviral	0.0241	92.1	1	0
NM_006374	STK25	154.4	Antiviral	0.0224	94.4	1	0
NM_006281	STK3	149.9	Antiviral	0.0475	101.1	1	0
NM_004783	TAOK2	66.4	Proviral	0.0482	96	1	0
NM_003266	TLR4	123.3	Antiviral	0.0163	97.1	1	0
NM_003844	TNFRSF10A	144.6	Antiviral	0.032	102.3	1	0
NM_017662	TRPM6	134.9	Antiviral	0.0037	94.4	1	0
NM_133646	MAP3K20	144.3	Antiviral	0.0052	94	1	0
