gene	C100	C141	C142	C143	C144	C145	C146	C148	C149	C152	C51	C52
MIR1302-2HG	0	0	0	1	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.1	11	9	8	30	1	10	4	6	6	3	6	4
AL627309.3	1	0	2	6	0	0	2	1	0	0	0	0
AL627309.2	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.4	1	0	0	0	0	1	0	0	0	0	0	0
AL732372.1	0	0	0	3	0	1	0	0	1	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0
AC114498.1	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0
AL669831.2	0	3	0	1	0	0	0	0	0	0	1	0
AL669831.5	189	163	133	174	1	115	40	32	61	69	62	57
FAM87B	3	9	4	11	0	2	1	2	2	1	4	2
LINC00115	132	120	199	375	14	132	29	59	37	65	29	21
FAM41C	58	54	64	86	1	82	22	50	37	44	73	68
AL645608.7	0	0	2	0	0	0	1	0	0	1	0	0
AL645608.3	2	1	1	2	0	2	1	2	1	0	0	0
AL645608.5	0	0	0	0	0	0	0	0	0	0	0	0
AL645608.1	0	0	0	3	0	1	0	0	0	0	0	0
SAMD11	0	2	5	8	0	5	0	0	0	2	1	1
NOC2L	840	1430	1292	2359	53	787	147	563	296	771	639	295
KLHL17	73	75	84	173	4	62	17	67	33	59	38	14
PLEKHN1	23	65	51	557	9	149	58	99	134	133	14	3
PERM1	0	0	0	10	0	5	2	6	8	3	0	0
AL645608.8	1	70	34	886	18	325	146	118	115	44	0	0
HES4	36	1080	754	24611	244	8759	2625	2765	3287	992	20	23
ISG15	9718	154847	126503	672185	8437	190614	36037	58554	75384	18054	15171	6360
AL645608.2	0	64	39	261	2	73	41	13	16	18	0	0
AGRN	387	1885	1593	2468	72	1218	437	1116	634	383	387	126
AL645608.9	0	3	0	3	0	3	1	2	0	10	0	0
RNF223	1	7	19	42	0	16	76	44	56	56	0	1
C1orf159	100	227	184	327	10	138	40	145	48	99	88	40
LINC01342	0	0	0	0	0	0	0	0	1	1	0	0
AL390719.2	0	31	25	69	3	71	15	78	81	68	3	4
TTLL10-AS1	0	2	1	0	0	2	3	0	6	0	0	0
TTLL10	14	177	196	127	10	268	102	166	91	56	32	19
TNFRSF18	138	566	329	3148	9	311	62	263	135	294	125	7
TNFRSF4	135	903	290	4212	11	480	182	221	403	307	160	10
SDF4	2054	6340	6096	12474	265	3238	716	2734	1364	2839	2720	1397
B3GALT6	520	532	461	1223	34	463	59	161	138	209	401	176
C1QTNF12	17	13	6	42	2	13	6	2	10	5	13	0
AL162741.1	1	1	0	14	0	7	0	2	6	6	0	0
UBE2J2	787	1753	1461	4003	75	1161	224	803	502	979	1038	441
LINC01786	4	0	0	0	0	2	0	0	0	1	2	3
SCNN1D	24	42	27	17	1	17	10	13	9	12	14	14
ACAP3	208	318	317	766	20	382	229	295	149	216	172	105
PUSL1	310	357	360	803	19	242	62	210	119	286	333	118
INTS11	692	1601	1629	3164	89	930	234	731	459	811	761	397
CPTP	293	533	468	765	26	290	84	264	172	260	231	102
TAS1R3	4	6	8	11	0	3	3	1	6	24	2	2
DVL1	143	222	184	585	22	361	100	296	172	195	89	77
MXRA8	0	0	0	14	0	7	0	2	1	2	1	0
AURKAIP1	3664	7732	6865	19209	357	6081	809	3926	2194	4813	5585	2615
CCNL2	753	1347	1223	3215	77	1307	375	799	587	592	510	289
MRPL20	3709	7862	6355	12786	306	4419	408	2724	1322	3198	6086	3331
AL391244.3	25	26	43	67	2	53	5	20	17	26	9	15
ANKRD65	3	87	101	118	11	164	73	241	105	49	7	3
AL391244.2	0	5	8	1	0	7	2	4	5	4	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0
LINC01770	0	9	5	11	0	6	1	15	3	5	0	1
VWA1	0	15	21	83	1	44	9	191	55	44	2	1
ATAD3C	28	111	82	130	8	94	30	68	45	51	153	77
ATAD3B	67	348	271	1380	23	349	105	389	171	367	112	76
ATAD3A	423	424	342	883	23	210	86	307	113	353	190	95
TMEM240	21	9	8	8	0	5	2	2	1	1	11	11
SSU72	4167	10721	9500	14155	378	5062	751	3335	1682	2451	5598	2513
AL645728.1	109	67	73	199	2	65	13	31	20	35	82	37
FNDC10	226	163	291	226	4	85	11	43	19	21	147	82
AL691432.2	106	153	150	295	15	153	40	61	39	54	87	47
MIB2	373	694	643	853	50	400	137	267	207	264	250	155
