"gene"	"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"AACS"	"2.58035204492873"	"2.62365278084564"	"-0.862386624135109"	"-0.700187098452299"	"0.175687597819424"	"-0.498926207863499"	"-0.159267657178812"	"-0.262469301715262"	"1.16704400793963"	"-0.703888959810019"	"0.831286074675334"	"0.294872136027525"	"0.505580032463795"	"-0.615017026986364"	"0.0175486847041861"	"-0.934623778229754"	"-0.729942876043493"	"-0.273001563455438"	"-0.733564257317082"	"0.561891341820674"	"0.715586553189621"	"-0.897163238835545"	"-0.883676884073442"	"-0.159917259935672"	"-1.05946852038277"
"AADAT"	"2.26533619317759"	"3.75347916839616"	"-0.459183637956181"	"-0.346112142981646"	"0.521335484773632"	"-0.459183637956181"	"-0.395919960394105"	"-0.459183637956181"	"-0.0396042888358016"	"-0.459183637956181"	"1.02304574523616"	"-0.157883333840063"	"-0.459183637956181"	"-0.405001032573506"	"-0.447931620836596"	"-0.441743204688037"	"-0.450815564568416"	"0.327465129822551"	"-0.405578328522583"	"-0.459183637956181"	"-0.282287814807868"	"-0.438062114765126"	"-0.406253210942906"	"-0.459183637956181"	"-0.459183637956181"
"AAR2"	"0.894335025777312"	"0.880774647241563"	"-1.06801174507503"	"0.357245158064006"	"0.0781892749173963"	"-0.888296799546185"	"-0.486751756089983"	"-0.442730760862148"	"1.25845134187398"	"-0.580022375806379"	"2.17429415295936"	"1.87401431713222"	"0.678423238303437"	"-0.547622580337283"	"0.438288428088898"	"-1.147140268403"	"-1.15063852892684"	"1.15682291742135"	"-0.614589078244344"	"0.780880757328307"	"-0.0328889800138223"	"-1.14939417830408"	"-0.978388727683003"	"-0.25883020277634"	"-1.22641327703939"
"AARD"	"1.100028185808"	"4.58972307541734"	"-0.316266891653381"	"-0.312913493577775"	"-0.0436221247742556"	"-0.338409181887901"	"-0.317011865904262"	"-0.0569117052179036"	"-0.0545852797908788"	"-0.338409181887901"	"-0.227003389866686"	"-0.338409181887901"	"-0.338409181887901"	"-0.338409181887901"	"-0.285129296011088"	"0.0391126830793507"	"-0.298785175776779"	"-0.256543407981489"	"-0.160399451008467"	"-0.338409181887901"	"-0.099087285346161"	"-0.314596470645535"	"-0.278734651646824"	"-0.338409181887901"	"-0.338409181887901"
"AARS"	"0.615788999046557"	"1.69916224862075"	"-1.22434648959738"	"0.224437403568446"	"0.283999418131458"	"-0.13679709453311"	"-0.29400564822076"	"-0.134030649245143"	"0.922861194042466"	"-1.24763312985885"	"1.82779043703863"	"0.896553131790902"	"1.08827905583962"	"-0.547423786796155"	"0.261612965067517"	"-0.88585012240936"	"-1.14225107845196"	"0.847482376662318"	"-0.968265210970304"	"-0.217279372064585"	"1.73348185839345"	"-1.17708042328761"	"-1.1484246544396"	"-0.11148412014821"	"-1.16657730817909"
"ABCA3"	"1.22230692935859"	"4.5187486813142"	"-0.356722424166527"	"-0.232382899788885"	"0.10370200898425"	"-0.322430023524295"	"-0.294060116675223"	"-0.278833701068474"	"-0.124491207544548"	"-0.452155665953811"	"-0.234940962988731"	"0.269419161150426"	"-0.170968435687706"	"-0.311111911177856"	"-0.208460066389853"	"-0.354092706089108"	"-0.374607870720377"	"-0.244231282572295"	"-0.370968183842039"	"-0.330163667592208"	"-0.0285133023055044"	"-0.40157237998776"	"-0.381426450570107"	"-0.211868396453685"	"-0.430175125708477"
"ABCC6"	"2.04720758568605"	"3.52698915343441"	"-0.385189707337749"	"-0.3505400657017"	"2.13042744076035"	"-0.406971561162861"	"-0.354349045146119"	"-0.406971561162861"	"-0.267369679829188"	"-0.406971561162861"	"-0.114725408197905"	"-0.35684744353267"	"-0.406971561162861"	"-0.370916432792799"	"-0.354558975396185"	"-0.377957772702926"	"-0.317876706288297"	"-0.266038553427913"	"-0.395621705769348"	"-0.406971561162861"	"-0.171545391945098"	"-0.397601527801955"	"-0.374684835870921"	"-0.406971561162861"	"-0.406971561162861"
"ABCD3"	"1.4708649018683"	"2.97786986204902"	"-0.74613730279362"	"-0.161452238173135"	"2.23212592582486"	"-0.589741290070933"	"-0.510281094379885"	"-0.562162763258935"	"0.358657221991033"	"-0.990286560435673"	"0.757715867937646"	"0.830827573845793"	"0.398838526148424"	"-0.488600403231769"	"-0.197327656843918"	"-0.649375889925306"	"-0.723406026247042"	"0.410428365964978"	"-0.57792255172287"	"-0.488064413747576"	"-0.0348395496631967"	"-0.734961863478446"	"-0.677172214246813"	"-0.396751296167922"	"-0.908845131243009"
"ABHD11"	"1.55827568481317"	"1.13283406712395"	"-0.802456934772612"	"-0.516505965661922"	"3.00621184488138"	"-0.577783196761729"	"-0.12964013158748"	"0.108479823481029"	"1.23422465340948"	"-0.771628666520912"	"0.105926163826864"	"-0.326065582214013"	"1.68543839782072"	"-0.351157500748184"	"0.314245251492458"	"-0.834737184416051"	"-0.76079791271259"	"-0.0700845995593803"	"-0.674683043651086"	"0.234995418918808"	"-0.244544239282344"	"-0.897846381666996"	"-0.838921569230344"	"-0.612754915662371"	"-0.97102348131984"
"ABRACL"	"-0.260333057069099"	"0.0599965100430312"	"-1.10159659263082"	"-0.736831193676783"	"-1.17396335120234"	"1.32633743469923"	"0.754220360020493"	"-0.93303953229074"	"1.49191139490958"	"0.452856486294497"	"-0.698917159312169"	"-1.49934513738943"	"2.18448761242741"	"0.0357030707051595"	"1.14178781659163"	"-0.78194664846502"	"-0.022486493140324"	"-1.4107782368256"	"-0.257573516875443"	"1.33660438138051"	"0.0741813329175067"	"0.0769736441184937"	"-0.380950913791026"	"1.07987237942429"	"-0.757170590863044"
"ABT1"	"-0.00564450417495906"	"0.697648397569714"	"-0.742163703204398"	"0.116586299657467"	"-0.81543568984763"	"0.0954532283597863"	"-0.441077722367732"	"-0.829235914654388"	"1.30997000756013"	"-0.637007783242862"	"0.762452997972809"	"1.00152054056113"	"2.32849225371165"	"-1.21551057689654"	"0.361415030346188"	"-1.36848141748807"	"-1.45402846854306"	"-0.190409074860562"	"-0.277959289372936"	"1.63027597791274"	"0.497698375426603"	"-0.780771141315255"	"-0.493547994056039"	"1.38595500052699"	"-0.936194829580779"
"AC007405.4"	"0.50908827283099"	"4.45499708360858"	"-0.319340622298548"	"-0.276624844753906"	"1.40927339687928"	"-0.319340622298548"	"-0.319340622298548"	"-0.319340622298548"	"-0.319340622298548"	"-0.319340622298548"	"-0.15757678566701"	"-0.319340622298548"	"-0.319340622298548"	"-0.319340622298548"	"-0.255579371907776"	"-0.299574853712965"	"-0.30985683255854"	"-0.250761179685159"	"-0.291725843860924"	"-0.319340622298548"	"-0.118859255216202"	"-0.311361402723922"	"-0.269350915649866"	"-0.319340622298548"	"-0.319340622298548"
"AC007405.6"	"1.09436541110957"	"3.78787463921441"	"-0.388443880084376"	"-0.389445411571229"	"2.41544184860817"	"-0.413197328025472"	"-0.365356084715018"	"-0.203401711868974"	"-0.360314961969495"	"-0.413197328025472"	"-0.0755461655175445"	"-0.147373209037862"	"-0.277053364349447"	"-0.413197328025472"	"-0.393342999989385"	"-0.395612260920633"	"-0.385775550604654"	"-0.230157529424094"	"-0.378801963042241"	"-0.413197328025472"	"-0.234834504533537"	"-0.391900643650689"	"-0.373170293005518"	"-0.267770821371536"	"-0.386591231174024"
"AC009133.12"	"0.820731984019724"	"4.5065836913962"	"-0.373264758164555"	"-0.354632985238785"	"0.450053942972348"	"-0.206978747347769"	"-0.336449588369944"	"0.672153182098184"	"-0.425724907212394"	"-0.47001760790548"	"-0.210391881351546"	"-0.24737121332362"	"-0.47001760790548"	"-0.401380466596664"	"-0.306099275420297"	"-0.407420503593781"	"-0.409948324684331"	"-0.227278826276389"	"-0.335234809155989"	"-0.3051124760943"	"-0.0965390863819015"	"-0.365965694198522"	"-0.302390323614358"	"0.139007026624446"	"-0.336310744274793"
