"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"A1BG"	-0.754389248726802	-1.35332279497841	-0.671926715320395	-0.957700764329644	0.126032071320226	-0.0357105817298514	0.980746438556789	1.94126191194454	0.467849637263274	2.66981925352646	-0.0709320312357217	-0.407695262256992	0.487724433403853	0.316100851566836	0.241575803304086	-0.337323169380824	-0.360912455382127	0.80975030584507	-1.22042244982079	-0.544993903581095	1.61564696498988	-0.6970616163526	-0.930567686084699	-0.486572638270208	-0.826976354270848
"A2M-AS1"	-0.706971407873127	-0.63537502207033	-1.04713036936164	-0.462318380664654	-0.458895177624978	-0.640332904717573	-0.402427220554757	-1.0949026941001	1.35451468339913	-1.0949026941001	0.411351266306269	0.664026105172342	0.481584022269083	-0.541365736057984	-0.618672331863574	1.65406555471129	-0.716306823694643	-0.123456171617539	1.50816166518025	0.614979052115707	-0.836732395600615	-0.180404852667247	2.38131215050892	1.43105897644598	-0.940859293540115
"ABLIM2"	0.174235035143793	-0.250390300356794	-0.355151505814515	0.541144919493482	0.17955910422344	-0.423046640495084	-0.401176369697667	-0.423046640495084	-0.423046640495084	-0.423046640495084	-0.0890331189307293	4.472454479989	-0.0496233997519563	-0.423046640495084	-0.337470481158117	-0.410988315304478	-0.399903878253545	1.12494624544603	-0.342182479320531	-0.15303291257313	-0.17843490091422	-0.286747934402182	-0.34985438757445	-0.423046640495084	-0.350069957272934
"AC003090.1"	2.48621451644531	-0.314596806116605	-0.381533112749403	-0.381533112749403	-0.381533112749403	-0.381533112749403	-0.186521168939456	-0.381533112749403	-0.381533112749403	-0.381533112749403	2.46140701100245	-0.381533112749403	-0.381533112749403	-0.381533112749403	-0.312163837524455	-0.381533112749403	-0.381533112749403	2.97597288049815	-0.351489518027291	-0.381533112749403	-0.381533112749403	-0.381533112749403	-0.272760160598242	-0.381533112749403	-0.381533112749403
"AC005618.6"	-0.584249492455106	-0.341091070121225	0.14883160543866	0.048828894423085	-0.584249492455106	-0.584249492455106	-0.584249492455106	-0.584249492455106	-0.584249492455106	-0.584249492455106	0.768161473285113	1.10270715863278	-0.584249492455106	-0.584249492455106	-0.584249492455106	-0.584249492455106	-0.584249492455106	3.48133614342057	0.0160143111139832	-0.584249492455106	1.39660204558188	-0.0323800235997033	-0.189111774702463	-0.584249492455106	1.77959413089881
"AC005754.8"	-0.336197860378655	-0.336197860378655	-0.336197860378655	1.03472543500326	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	2.85867009616018	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	-0.336197860378655	3.50295739716697
"AC006946.16"	0.0407241165274161	-0.399381990222204	0.67506379194231	-0.427611181200081	0.458773436102243	2.45109593552613	0.0093614585479812	-0.613004014082883	-0.613004014082883	-0.613004014082883	1.76326381015974	0.869038394778448	-0.613004014082883	-0.613004014082883	-0.391617359922303	-0.613004014082883	-0.613004014082883	-0.613004014082883	-0.085654118743187	-0.613004014082883	2.86747188686672	-0.474480011368622	-0.613004014082883	-0.613004014082883	-0.613004014082883
"AC021188.4"	-0.81377041729441	-0.641718650608945	0.050740716405606	-0.216506823366248	-0.81377041729441	2.47667564005215	-0.646685461734444	-0.81377041729441	0.29437567226652	-0.81377041729441	-0.465797207510139	-0.0180097239005079	-0.81377041729441	-0.81377041729441	-0.635464995968782	-0.0767828427873816	-0.725367136043794	-0.81377041729441	0.370322716607708	-0.81377041729441	1.05501950377698	1.26882503489387	0.770560777302867	2.23363132899815	1.41634478997166
"AC093609.1"	-0.634665710787769	-0.634665710787769	-0.402947448718101	-0.56796284804277	-0.634665710787769	-0.634665710787769	-0.186821443535364	0.838264717368194	-0.634665710787769	-0.634665710787769	3.36811191901496	-0.634665710787769	-0.634665710787769	-0.442886081935019	0.480478425422508	-0.572935201603631	-0.338477294379285	-0.420485124095246	1.09020962262582	-0.634665710787769	-0.634665710787769	0.212611423589007	1.76962767619696	1.40735147370118	0.112517292268478
"ACER2"	0.933481993241165	-0.393508231821559	0.128647993388586	2.04625758983157	-0.652664809517857	-0.652664809517857	0.102360833664631	-0.652664809517857	-0.652664809517857	-0.652664809517857	0.657690031861785	-0.652664809517857	-0.652664809517857	-0.652664809517857	-0.384088533518768	0.179912419824563	-0.0534479853998946	0.791692946510621	-0.187386960676278	-0.652664809517857	3.56969113929013	0.0195394103173351	-0.23152974181746	-0.652664809517857	-0.652664809517857
