"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"ACTRT3"	1.21206522099967	1.88748057287229	-0.167613285521681	-0.920298822369885	-0.410132942647826	0.870489548030654	0.501124436369472	-1.09904867195671	-1.09904867195671	-1.09904867195671	1.0879309972745	0.806201950345607	2.3162144116384	0.785360094552011	0.466280241357715	-0.602773754622211	0.0650792424778844	0.431510230822504	-0.421110098634126	-1.09904867195671	-1.09904867195671	-0.564806991427619	0.0166237167763574	-1.09904867195671	-0.765332736553447
"ACY1"	2.20122809544141	2.68487766407912	-0.671760884701357	-0.177882359863378	-0.325186141045036	-0.820612341423795	0.0424478805444367	-0.820612341423795	1.08739269474564	-0.820612341423795	1.10162845896447	0.206992744821763	1.63543669449644	-0.0814385654051123	0.45857986478466	-0.661994265589716	-0.611319881959355	0.142486744175438	-0.477123817202661	-0.820612341423795	-0.418402220558809	-0.692547657259878	-0.519740999925313	-0.820612341423795	-0.820612341423795
"ADK"	1.68423460735659	2.90733461718863	0.166285365416346	-0.763041257109196	-0.329445604074586	-0.749179552440268	-0.0164175017769839	0.264140457177389	1.29874178973007	0.370328636212836	0.603748415428222	-0.141499287019313	1.50831733421641	-0.644499438095185	0.270574148267885	-1.21424892310451	-0.738083024430696	-0.0598121400945488	-1.15432952654851	-0.105161025252699	-0.145548231575097	-0.999878169433335	-1.12239379924705	-0.029256102430289	-0.860911788362105
"ADSL"	0.0249394423575901	0.538560733229283	-1.15947790093471	-0.0736735073539378	-0.340857145940681	-0.0813348028603941	-0.0854087555750605	-0.533870225378937	2.07974706550279	-0.867461353347537	1.05649339125119	0.911743600288445	1.67885019727692	-0.664480367972431	0.623066837586881	-1.24037504993435	-1.0455252068485	0.513812750106586	-0.943000285105563	0.536670198694557	-0.252503768425671	-0.767268269790349	-1.0662415030253	2.11804412405282	-0.960450197853636
"AF186192.6"	-0.3493480404191	4.01749691089133	-0.3493480404191	-0.0686231511957569	-0.3493480404191	-0.3493480404191	0.593048036300759	-0.3493480404191	-0.3493480404191	-0.3493480404191	-0.185794223038545	-0.3493480404191	-0.3493480404191	-0.3493480404191	-0.181734376507822	-0.3493480404191	-0.3493480404191	-0.3493480404191	-0.27675513856004	-0.3493480404191	2.28574900337075	-0.244470374135965	-0.3493480404191	-0.3493480404191	-0.3493480404191
"AHCY"	0.750905592990007	1.60882155539955	-1.03256780524613	-0.489586724997347	-0.609622247200934	-0.196034209605918	-0.11451267608864	-0.207611476568446	1.73477731787342	0.752096669345039	1.23214646240433	0.112588806643614	1.9654064496709	-0.770853133628012	0.292399623807129	-1.23286937843214	-0.959401066562531	0.314820692198399	-1.21548464028399	0.462768952498104	0.348893114297727	-1.09910092694779	-1.2707099946096	0.855503752895538	-1.23277470985228
"AHCYL2"	1.795468660253	4.1723932652122	-0.473994668208241	-0.340169504532959	0.106904995463142	0.269272799204415	-0.291363547934949	0.659360490800637	-0.281569302619076	-0.561280401052811	-0.259719897611666	-0.119386665723076	0.0148054357213498	-0.315660025608545	-0.198226306002428	-0.49617142121815	-0.434089535986223	-0.399921436044554	-0.466418119138233	-0.457141807482097	-0.27825565197561	-0.454267923122013	-0.460127536055367	-0.253598192775702	-0.476843703563043
"AIFM1"	0.679031276021412	1.72346592883371	-1.22633321639818	-0.383137178501461	0.343511541154284	-0.316476291870092	0.0175344533872109	-0.883774557862492	1.49246463817902	-0.840411033946278	1.42998722074527	0.570199435863998	0.807798286942045	-0.427442722023362	0.900258809821146	-1.26178012245557	-1.02315476065	-0.270209859426687	-0.937112298795553	0.275794662991525	1.49271491286876	-1.17432657643179	-1.06759994688549	1.16923487637853	-1.09023747793996
"AIMP2"	0.0419818287956006	0.554429646797725	-1.07885578881184	-0.0865810223012492	-0.165584995398197	-0.182129062223945	0.215589319638527	-0.10290212904226	1.88362124116819	-0.517326242258672	0.802802076110905	1.06039710710891	3.05690396136345	-0.402010275202809	1.02209051337196	-1.04608541309515	-0.830439803597887	0.0643955747032019	-0.841310740802652	0.254243018650196	-0.385201481424868	-1.12082193696766	-1.04437694058896	-0.0539854998429622	-1.09884295614956
"AK2"	0.673926650942622	1.64283349174697	-1.23735542293345	0.062241327085124	0.202544557343619	-0.068093572254287	0.0650216162654751	0.303899410771647	1.65873452277851	-0.212686936999555	0.788923897122357	1.11611321319657	2.17272114909956	-0.754804844079399	0.330101914183083	-1.28817066660774	-0.924109487011946	0.0364111942790212	-1.06143967758238	0.352241121128876	-0.173214426451253	-1.29826034906551	-1.25288229291084	0.272655833765199	-1.40735222381227
"AKR1A1"	0.157798861800063	0.821654595069097	-1.18101193539098	-0.514830110469805	-0.129514520250492	0.389173646053707	0.577534828621167	-0.267368766012955	1.518049459214	-0.126073452632482	0.793775865112909	0.860673108597969	2.2387179018642	0.269249028486227	1.30789671816325	-1.0827700415982	-0.68081628950164	-0.111261276586665	-1.28574445327174	-0.369687805112088	0.993469504039	-1.39174176220261	-1.45902271511982	0.113090522579444	-1.44124091145156
"ALYREF"	0.769399622082175	0.364082790511551	-0.925657502990415	-0.368778617050286	-0.212714133310645	0.305813970405886	-0.174001756271888	-0.361237051710734	2.57071068167735	-0.142827121917617	-0.00606270336550212	0.827955688349779	3.17060125034808	-0.449637001001599	0.0646558571917017	-0.8017816930303	-0.395755124529859	-0.544052323895135	-0.874155867317801	-0.297692829401693	-0.0345100022641196	-0.936594882697013	-0.865374144991674	0.207069997932771	-0.889457102753011
"ANKRD2"	-0.370398339058709	-0.328226836250618	-0.370398339058709	-0.297200882811257	-0.370398339058709	-0.370398339058709	-0.370398339058709	-0.370398339058709	2.0741547245442	-0.370398339058709	4.0647596413881	0.799892148363457	-0.370398339058709	-0.370398339058709	-0.282989674550449	-0.370398339058709	-0.337895628142171	0.0996706648283826	-0.275757358481518	-0.370398339058709	-0.370398339058709	-0.370398339058709	-0.370398339058709	-0.370398339058709	0.0395682869925071
"ANKRD34B"	2.80381974819853	3.75770631219067	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	0.0888535537551394	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106	-0.302289982461106
"ANLN"	0.0094458076216689	-0.325543017735938	-0.344838212441398	-0.316499807014238	-0.270371118975957	-0.344838212441398	-0.318893041933065	-0.287950236121897	2.0068449078077	-0.344838212441398	-0.277296043325036	-0.283054831631495	4.23282830756606	-0.330024267700781	-0.314074324538122	-0.340069862657145	-0.324247146676172	-0.336566063322233	-0.342173465614376	-0.0245151457808262	-0.223926485769289	-0.342913282997221	-0.340014349288675	0.128366317852628	-0.344838212441398
"ARG2"	0.663139785094059	1.19991802472452	-0.413590864665158	-0.119908482471591	-0.41909877020717	-0.0159910452781754	0.14532256331664	-0.881695115586029	3.23226706513222	-1.0552618603095	-0.020317594410821	2.33778773683653	-0.604726905920919	0.119879472161885	-0.44046937046675	-0.495149871325552	-0.325806634174833	0.560005294399494	-0.766639256586194	-0.566604717472655	-0.538794961376249	-0.558992391066885	-0.808739780141012	0.388497879890265	-0.615030200096125
"ARHGAP11A"	-0.0748026827725387	-0.435859855738684	-0.471605429615589	-0.469199004633138	-0.442804701790477	-0.239887693428724	-0.368301989531603	-0.331205790568786	2.44954719848775	-0.271282884635493	-0.403455398085936	-0.514969368764221	3.30105727631544	-0.443189785392258	-0.408140497840767	-0.495715541436977	-0.468778589672736	-0.488248085641643	-0.45148644325785	0.692215983381173	-0.20250725671066	-0.423253224273115	-0.417579461988187	1.77789891371972	-0.398445686124704
"ARMT1"	0.411006809232315	2.05853199103424	-0.957934475154714	-0.418443227557897	-0.33513464513266	-0.266538182985443	0.246671384096505	-0.923250612402792	1.96579478393273	-0.322722556329704	0.439475614274442	0.48967382375855	2.60518795893929	0.357842737571133	0.900017656665369	-1.13439470906745	-0.603328098687973	-0.097519826312458	-0.786588930951456	-0.178121721775263	-0.0892787003126623	-0.968489977690798	-0.874492204777232	-0.530860121218672	-0.987104769147406
"ASF1B"	0.00465842054536994	-0.428459413928348	-0.475634315761902	-0.442855586345662	-0.462727291673091	-0.371790189983901	-0.382389762928319	-0.412714325189387	1.95443853532311	-0.495067831837464	-0.442920109634702	-0.450347678375749	2.9252309974614	-0.446815883972155	-0.422698227701909	-0.48989067906639	-0.457807179826755	-0.483092709297458	-0.45504519753537	2.1712853180222	-0.26751964099452	-0.466505063826531	-0.468880704614878	1.73128435356907	-0.463735832426657
"ASNS"	0.615853135134335	3.08979991130138	-0.604064213897922	0.28080545217841	-0.439280093137374	0.147630836708144	-0.679303933904948	-0.756555215138203	-0.0470010526365592	-0.680270367078702	1.51854359238534	-0.016554461538667	-0.535058642120051	-0.914346257670098	-0.71533569838974	-0.539491497469574	-0.87288908452333	1.47577523412366	-0.61243655434016	0.107223987504754	1.59507363177847	-0.58084863809247	-0.715254912110009	0.631135520925978	-0.75315067999265
"ASPM"	-0.271394974806515	-0.451262450721795	-0.458542837239516	-0.433269572683569	-0.443932070133567	-0.458542837239516	-0.399153027520383	-0.346926157380958	2.38307023965542	-0.458542837239516	-0.409951925354724	-0.438339224564821	2.94576589844649	-0.436743635089979	-0.446470820446303	-0.456203909904795	-0.440587030491213	-0.442312521455554	-0.452007401002837	1.11267657923095	-0.0789683440619815	-0.440603060238258	-0.44789512963876	2.17205936760876	-0.401922317727066
"ATP1B1"	1.89256464858709	2.17242043945609	-0.911217303603241	-0.876297759112978	1.17197632981896	1.11398236003947	0.679925098917412	-0.118500879292787	0.232035439869502	-0.86239136139595	-0.461838608573868	-0.871308632881456	2.12354750906661	-0.246400458979512	0.81431312983661	-0.708160855968968	-0.464251283868889	-0.0192383655784638	-0.915005488626537	-0.708282618287467	-0.484744396140911	-0.702334973965307	-0.847352704553253	-0.486751300069022	-0.516687964693136
"ATP5C1"	-0.183544032415952	0.527082607625709	-1.58565812846194	-0.221367262909379	-0.416547241007671	0.840468228694918	0.852496290255488	0.596478462708157	1.32340469208799	-0.111967296817604	0.715738020180596	0.743135213523396	2.04073054704136	-0.0509829190193018	0.970600408947248	-1.36250547561394	-0.76215128887192	0.462187954642214	-1.14990347977985	0.80023087236542	-0.00920481598674585	-1.30695096439246	-1.52525446778331	0.374459619823603	-1.56097554483601
"ATP5F1"	-0.0862769936551302	0.712985701804689	-1.54855684555446	-0.429892641911791	-0.187782267971773	0.678580150332358	0.317099496115843	0.508855651693045	1.45193810420505	0.622402817147951	0.813171677753334	0.673959614901152	2.09859786287995	-0.484654831524022	0.900542358865292	-1.56194928301957	-0.759687597590046	0.325204276815443	-0.89085679510285	0.672973497355768	-0.340491630163914	-1.26091846188531	-1.31554259970509	0.721122367391296	-1.6308236291772
"ATP5G3"	0.0640751115948522	0.855487577616175	-1.65575154180419	-0.984730910898509	-0.178698751022148	0.71147460821719	0.681466344745625	0.66044196263125	1.16631211387065	0.952163236301663	0.534600675327478	0.0612862455353972	1.62968834446788	-0.153450686712102	1.03025759959996	-1.54248465920477	-0.652506084216658	0.322691968665323	-1.01107427589526	0.907335531809619	0.346269617162375	-1.31928466697965	-1.35958345757351	0.647065588439823	-1.71305149167848
"AUNIP"	-0.0674902525770938	-0.426819337376049	-0.470743724701874	-0.445330406818237	-0.470743724701874	0.159288284916392	-0.278790047005094	-0.470743724701874	3.06559296840341	-0.470743724701874	-0.404116204653575	-0.36916586360615	1.35009346621616	-0.434210385118887	-0.425222794928923	-0.423705951855073	-0.408678596783323	-0.470743724701874	-0.434599634561554	2.95243019422404	-0.351469372126058	-0.470743724701874	-0.458847377459733	0.696247384022868	-0.470743724701874
"AURKA"	-0.318579061719425	-0.337373313029939	-0.504954680712355	-0.430271906632094	-0.458449135092013	-0.394384867924659	-0.230776239327346	-0.274341152954094	2.45270752300944	-0.366554727254225	-0.390962916198971	-0.548007244425451	3.35901291253795	-0.396570885377534	-0.257570613439061	-0.401773096268908	-0.403551062138156	-0.388830781209691	-0.479104752783161	0.800324537016116	-0.257177425962859	-0.473926505200366	-0.488542527243013	1.63354688247405	-0.443888960144248
"AURKB"	-0.210577053381907	-0.449143894803052	-0.453358571794673	-0.419833654533632	-0.414098175190108	-0.456547025056738	-0.379517570080689	-0.456547025056738	2.79263177868095	-0.456547025056738	-0.40948975766566	-0.456547025056738	2.75263118321141	-0.430158065561208	-0.439010532115382	-0.448052880416645	-0.436169198249987	-0.45065275686906	-0.444679845632995	1.21724377814592	-0.0430035260076184	-0.449003244568028	-0.450531901326723	1.84750901344278	-0.456547025056738
