"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"ACTRT3"	1.43979057591623	1.86056458511548	0.580270793036751	0.111358574610245	0.429184549356223	1.22699386503067	0.996884735202492	0	0	0	1.36245674740484	1.18694362017804	2.12765957446809	1.17395944503735	0.975177304964539	0.309172105805565	0.725234877204549	0.953516090584029	0.422345939719716	0	0	0.332824850922202	0.695047784535187	0	0.207900207900208
"ACY1"	2.61780104712042	3.03678357570573	0.128949065119278	0.556792873051225	0.429184549356223	0	0.747663551401869	0	1.65289256198347	0	1.66522491349481	0.890207715133531	2.12765957446809	0.64034151547492	1.10815602836879	0.137409824802473	0.181308719301137	0.834326579261025	0.297561912075254	0	0.348432055749129	0.110941616974067	0.260642919200695	0	0
"ADK"	37.17277486911	51.5397775876818	19.3423597678917	8.42613214550854	13.519313304721	8.58895705521472	17.196261682243	20.4918032786885	32.6446280991736	21.7391304347826	24.4809688581315	15.727002967359	35.1063829787234	9.81856990394877	20.5673758865248	3.12607351425627	8.71930113730015	16.6865315852205	3.82990977154924	16.1538461538462	15.6794425087108	5.64415476355568	4.20503909643788	17.0454545454545	7.27650727650728
"ADSL"	18.3246073298429	23.8665526090676	5.54480980012895	17.260579064588	14.3776824034335	17.1779141104294	17.1339563862928	12.2950819672131	40.495867768595	8.69565217391304	29.4550173010381	27.893175074184	36.1702127659575	10.8858057630736	24.7783687943262	4.67193404328409	6.77435305752431	23.5995232419547	7.88059128431561	23.8461538461538	15.3310104529617	9.77672999583969	6.55082536924414	40.9090909090909	7.69230769230769
"AF186192.6"	0	0.577416595380667	0	0.0371195248700817	0	0	0.124610591900312	0	0	0	0.0216262975778547	0	0	0	0.0221631205673759	0	0	0	0.00959877135726627	0	0.348432055749129	0.0138677021217584	0	0	0
"AHCY"	32.5916230366492	44.8887938408897	7.02772404900064	14.8106904231626	13.0901287553648	19.0184049079755	20.1869158878505	18.8524590163934	46.6942148760331	32.6086956521739	39.4896193771626	23.4421364985163	50	10.7790821771612	26.0195035460993	4.15664720027482	8.07647931432339	26.3408820023838	4.40583605298522	28.4615384615385	26.8292682926829	6.07405352933019	3.61424847958297	34.0909090909091	4.15800415800416
"AHCYL2"	17.4083769633508	34.9657827202737	0.644745325596389	1.63325909428359	4.93562231759657	6.13496932515337	1.99376947040498	9.01639344262295	2.06611570247934	0	2.22750865051903	3.26409495548961	4.25531914893617	1.81430096051227	2.68173758865248	0.480934386808657	0.939508818196802	1.19189511323004	0.700710309080438	0.769230769230769	2.09059233449477	0.79045902094023	0.747176368375326	2.27272727272727	0.623700623700624
"AIFM1"	13.0890052356021	19.0975192472198	2.12765957446809	6.97847067557535	11.1587982832618	7.36196319018405	9.28348909657321	4.0983606557377	17.7685950413223	4.34782608695652	17.409169550173	12.4629080118694	13.8297872340426	6.72358591248666	14.3617021276596	1.92373754723463	3.29652216911159	7.62812872467223	3.79151468612018	10.7692307692308	17.7700348432056	2.42684787130772	3.04083405734144	15.9090909090909	2.91060291060291
"AIMP2"	14.6596858638743	20.1240376390077	2.70793036750484	13.2887899034892	12.4463519313305	12.2699386503067	16.5109034267913	13.1147540983607	34.297520661157	8.69565217391304	22.772491349481	25.5192878338279	46.8085106382979	9.92529348986126	25.1108156028369	3.05736860185503	5.35684852480633	14.8986889153754	5.24092916106738	16.9230769230769	10.1045296167247	2.26043544584662	3.0755864465682	13.6363636363636	2.49480249480249
"AK2"	43.0628272251309	59.2386655260907	11.1540941328175	32.8507795100223	35.1931330472103	30.6748466257669	32.8971962616822	36.8852459016393	59.504132231405	28.2608695652174	44.9826989619377	50.4451038575668	68.0851063829787	19.2102454642476	37.322695035461	10.3057368601855	16.3837151804846	32.419547079857	14.0909963524669	37.6923076923077	28.9198606271777	10.1372902510054	10.8948740225891	36.3636363636364	8.31600831600832
"AKR1A1"	45.2879581151832	59.6877673224979	16.247582205029	30.6978470675575	39.0557939914163	50.3067484662577	54.392523364486	36.0655737704918	74.7933884297521	39.1304347826087	59.083044982699	60.5341246290801	90.4255319148936	47.7054429028815	70.2349290780142	18.3785640673308	27.0974122300972	39.4517282479142	13.9758110961797	33.8461538461538	63.4146341463415	11.6766051865206	10.2172024326672	44.3181818181818	10.6029106029106
"ALYREF"	13.2198952879581	10.2437981180496	0.773694390715667	4.8626577579807	6.00858369098712	9.8159509202454	6.29283489096573	4.91803278688525	26.4462809917355	6.52173913043478	7.52595155709343	13.6498516320475	30.8510638297872	4.26894343649947	8.04521276595745	1.6832703538303	4.6645788692929	3.57568533969011	1.15185256287195	5.38461538461539	7.31707317073171	0.693385106087921	1.21633362293658	9.09090909090909	1.03950103950104
"ANKRD2"	0	0.0213857998289136	0	0.0371195248700817	0	0	0	0	1.2396694214876	0	2.24913494809689	0.593471810089021	0	0	0.0443262411347518	0	0.0164826108455579	0.238379022646007	0.0479938567863313	0	0	0	0	0	0.207900207900208
"ANKRD34B"	0.130890052356021	0.171086398631309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164826108455579	0	0	0	0	0	0	0	0
"ANLN"	5.10471204188482	0.278015397775877	0	0.408314773570898	1.07296137339056	0	0.373831775700935	0.819672131147541	33.8842975206612	0	0.97318339100346	0.890207715133531	65.9574468085106	0.213447171824973	0.443262411347518	0.0687049124012367	0.296686995220043	0.119189511323004	0.0383950854290651	4.61538461538462	1.74216027874564	0.0277354042435169	0.0695047784535187	6.81818181818182	0
"ARG2"	8.1151832460733	10.650128314799	3.03030303030303	4.41722345953972	3.00429184549356	4.9079754601227	5.66978193146417	0.819672131147541	20.2479338842975	0	4.88754325259516	16.0237388724036	2.12765957446809	5.54962646744931	2.90336879432624	2.64513912744761	3.44486566672161	7.62812872467223	1.36302553273181	2.30769230769231	2.4390243902439	2.34364165857717	1.16420503909644	6.81818181818182	2.07900207900208
"ARHGAP11A"	3.92670157068063	0.705731394354149	0.386847195357834	0.408314773570898	0.643776824034335	2.45398773006135	1.30841121495327	1.63934426229508	26.4462809917355	2.17391304347826	0.994809688581315	0	34.0425531914894	0.64034151547492	0.953014184397163	0.171762281003092	0.412065271138948	0.238379022646007	0.56632751007871	10.7692307692308	2.78745644599303	0.818194425183747	0.868809730668984	20.4545454545455	1.03950103950104
"ARMT1"	15.3141361256545	30.1753635585971	2.96582849774339	7.83221974758723	8.58369098712446	9.20245398773006	13.8317757009346	3.27868852459016	29.3388429752066	8.69565217391304	15.5709342560554	16.0237388724036	35.1063829787234	14.8345784418356	19.7251773049645	1.37409824802473	6.16449645623867	10.7270560190703	4.51142253791515	10	10.801393728223	2.87061433920399	3.71850564726325	6.81818181818182	2.7027027027027
"ASF1B"	9.94764397905759	1.32591958939264	0.386847195357834	1.03934669636229	0.643776824034335	2.45398773006135	2.24299065420561	1.63934426229508	48.7603305785124	0	1.03806228373702	0.890207715133531	68.0851063829787	0.96051227321238	1.44060283687943	0.103057368601855	0.741717488050107	0.238379022646007	0.7966980226531	53.0769230769231	4.52961672473868	0.568575786992095	0.52128583840139	44.3181818181818	0.623700623700624
"ASNS"	11.2565445026178	28.5928143712575	2.70793036750484	8.9086859688196	3.86266094420601	7.97546012269939	2.18068535825545	1.63934426229508	6.61157024793388	2.17391304347826	17.5821799307958	6.82492581602374	3.19148936170213	0.533617929562433	1.9281914893617	3.16042597045689	0.824130542277897	17.2824791418355	2.64926089460549	7.69230769230769	18.1184668989547	2.87061433920399	1.92875760208514	11.3636363636364	1.66320166320166
"ASPM"	2.74869109947644	0.106928999144568	0	0.371195248700817	0.214592274678112	0	0.872274143302181	1.63934426229508	41.7355371900826	0	0.713667820069204	0.29673590504451	50	0.32017075773746	0.177304964539007	0.0343524562006183	0.263721773528927	0.238379022646007	0.0959877135726627	23.0769230769231	5.57491289198606	0.26348634031341	0.156385751520417	38.6363636363636	0.831600831600832
"ATP1B1"	64.1361256544503	70.2095808383233	3.28820116054159	4.0460282108389	48.4978540772532	47.239263803681	37.8193146417445	20.4918032786885	28.099173553719	4.34782608695652	13.0406574394464	4.15430267062314	69.1489361702128	17.7161152614728	40.7358156028369	7.69495018893851	12.9882973462997	22.6460071513707	3.20598963332693	7.69230769230769	12.5435540069686	7.82138399667175	4.67419635099913	12.5	11.8503118503119
"ATP5C1"	50.6544502617801	65.7399486740804	20.889748549323	49.8515219005197	45.7081545064378	72.3926380368098	72.6479750778816	67.2131147540984	82.6446280991736	52.1739130434783	69.7448096885813	70.326409495549	97.8723404255319	53.4685165421558	75.1551418439716	25.6269323256613	38.3715180484589	64.3623361144219	30.1401420618161	71.5384615384615	54.3554006968641	26.806268201359	22.1720243266725	62.5	21.4137214137214
