"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"A1BG"	8.63874345549738	2.54491017964072	9.47775628626692	6.57015590200445	17.5965665236052	15.9509202453988	26.2928348909657	36.0655737704918	21.0743801652893	43.4782608695652	15.5925605536332	12.1661721068249	21.2765957446809	19.5304162219851	18.7721631205674	12.8821710752319	12.6421625185429	24.5530393325387	3.89710117105011	10.7692307692308	32.7526132404181	9.22202191096935	6.84622067767159	11.3636363636364	7.9002079002079
"A2M-AS1"	0.523560209424084	0.620188195038494	0.0644745325596389	0.853749072011878	0.858369098712446	0.613496932515337	0.934579439252336	0	3.30578512396694	0	2.03287197231834	2.37388724035608	2.12765957446809	0.747065101387407	0.642730496453901	3.71006526966678	0.510960936212296	1.31108462455304	3.51315031675946	2.30769230769231	0.348432055749129	1.2342254888365	4.69157254561251	3.40909090909091	0.207900207900208
"ABLIM2"	1.70157068062827	0.491873396065013	0.193423597678917	2.74684484038604	1.71673819742489	0	0.0623052959501558	0	0	0	0.951557093425606	13.946587537092	1.06382978723404	0	0.243794326241135	0.0343524562006183	0.0659304433822318	4.41001191895113	0.230370512574391	0.769230769230769	0.696864111498258	0.388295659409236	0.208514335360556	0	0.207900207900208
"AC003090.1"	0.916230366492147	0.0213857998289136	0	0	0	0	0.0623052959501558	0	0	0	0.908304498269896	0	0	0	0.0221631205673759	0	0	1.07270560190703	0.00959877135726627	0	0	0	0.0347523892267593	0	0
"AC005618.6"	0	0.0427715996578272	0.128949065119278	0.111358574610245	0	0	0	0	0	0	0.237889273356401	0.29673590504451	0	0	0	0	0	0.715137067938021	0.105586484929929	0	0.348432055749129	0.097073914852309	0.0695047784535187	0	0.415800415800416
"AC005754.8"	0	0	0	0.0742390497401633	0	0	0	0	0	0	0.173010380622837	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207900207900208
"AC006946.16"	0.130890052356021	0.0427715996578272	0.257898130238556	0.0371195248700817	0.214592274678112	0.613496932515337	0.124610591900312	0	0	0	0.475778546712803	0.29673590504451	0	0	0.0443262411347518	0	0	0	0.105586484929929	0	0.696864111498258	0.0277354042435169	0	0	0
"AC021188.4"	0	0.0641573994867408	0.322372662798195	0.22271714922049	0	1.22699386503067	0.0623052959501558	0	0.413223140495868	0	0.129757785467128	0.29673590504451	0	0	0.0664893617021277	0.274819649604947	0.0329652216911159	0	0.441543482434248	0	0.696864111498258	0.776591318818472	0.590790616854909	1.13636363636364	0.831600831600832
"AC093609.1"	0	0	0.128949065119278	0.0371195248700817	0	0	0.249221183800623	0.819672131147541	0	0	2.22750865051903	0	0	0.106723585912487	0.620567375886525	0.0343524562006183	0.164826108455579	0.119189511323004	0.959877135726627	0	0	0.471501872139786	1.33796698523023	1.13636363636364	0.415800415800416
"ACER2"	0.130890052356021	0.0213857998289136	0.0644745325596389	0.22271714922049	0	0	0.0623052959501558	0	0	0	0.108131487889273	0	0	0	0.0221631205673759	0.0687049124012367	0.0494478325366738	0.119189511323004	0.0383950854290651	0	0.348432055749129	0.0554708084870337	0.0347523892267593	0	0
"ADAMTSL2"	0.523560209424084	0.278015397775877	0.193423597678917	1.74461766889384	0.214592274678112	0.613496932515337	0.0623052959501558	0	0.826446280991736	0	17.863321799308	0.29673590504451	0	0.32017075773746	0.421099290780142	0.0687049124012367	0.214273940992253	3.93325387365912	0.211172969859858	0	0.348432055749129	0.0693385106087921	0.052128583840139	0	0
"ADCY1"	0.130890052356021	0.0641573994867408	0	1.33630289532294	0	0	0	0	0	0	0.97318339100346	0.29673590504451	0	0	0.155141843971631	0.0343524562006183	0.0329652216911159	1.07270560190703	0.0287963140717988	0	0	0.0277354042435169	0.0347523892267593	0	0
"ADCY5"	0.130890052356021	0.0213857998289136	0	0.111358574610245	0	0	0.0623052959501558	0	0	0	0.713667820069204	0	1.06382978723404	0	0.0664893617021277	0	0.0164826108455579	10.7270560190703	0.00959877135726627	0	0	0.0138677021217584	0	0	0
"ADD1"	32.0680628272251	27.8656971770744	13.2817537072856	27.3570898292502	24.2489270386266	12.2699386503067	17.8193146417445	18.0327868852459	28.5123966942149	28.2608695652174	41.5008650519031	45.1038575667656	38.2978723404255	13.4471718249733	21.2101063829787	8.4163517691515	9.98846217240811	33.134684147795	14.8397005183337	19.2307692307692	21.602787456446	6.55942310359174	8.21894005212858	22.7272727272727	6.02910602910603
"ADRA2C"	0.130890052356021	0	0	0.965107646622123	0	0	0	0	0	0	0.0432525951557093	0	0	0	0	0	0	5.12514898688915	0.00959877135726627	0	0	0	0	0	0
"ADSSL1"	2.4869109947644	2.43798118049615	0.128949065119278	2.56124721603563	11.8025751072961	1.84049079754601	1.55763239875389	0	4.13223140495868	0	3.76297577854671	1.48367952522255	1.06382978723404	0.426894343649947	0.48758865248227	0.137409824802473	0.758200098895665	2.14541120381406	0.220771741217124	0	0.696864111498258	0.097073914852309	0.156385751520417	2.27272727272727	0
"AEBP1"	3.53403141361257	1.58254918733961	1.74081237911025	13.0660727542687	2.57510729613734	0.613496932515337	1.80685358255452	2.45901639344262	7.85123966942149	10.8695652173913	75.3892733564014	25.2225519287834	3.19148936170213	0.96051227321238	2.52659574468085	1.33974579182412	1.31860886764463	69.8450536352801	1.6797849875216	0	5.57491289198606	0.873665233670781	0.53866203301477	0	0.415800415800416
"AFF1"	11.9109947643979	11.7194183062447	3.41715022566086	15.4788418708241	13.0901287553648	11.0429447852761	13.7071651090343	5.73770491803279	15.2892561983471	13.0434782608696	12.3053633217993	14.8367952522255	17.0212765957447	9.28495197438634	9.4636524822695	3.91618000687049	4.87885281028515	6.7938021454112	2.68765598003456	6.15384615384615	10.801393728223	3.09249757315213	1.84187662901825	2.27272727272727	2.91060291060291
"AGT"	0.130890052356021	0.449101796407186	0	0.22271714922049	0.214592274678112	0	0.186915887850467	0	0.826446280991736	0	7.3961937716263	0.29673590504451	0	0.106723585912487	0.265957446808511	0.137409824802473	0.0824130542277897	12.0381406436234	0	0	0	0.0277354042435169	0.0173761946133797	0	0
"AHDC1"	9.68586387434555	2.48075278015398	0.967117988394584	7.98069784706756	11.587982832618	3.06748466257669	2.61682242990654	2.45901639344262	7.43801652892562	0	12.6297577854671	16.0237388724036	2.12765957446809	1.70757737459979	1.41843971631206	0.343524562006183	1.26916103510796	10.0119189511323	2.82203877903628	6.15384615384615	0.696864111498258	1.05394536125364	1.21633362293658	6.81818181818182	1.03950103950104
"AKT3"	1.30890052356021	0.406330196749358	1.74081237911025	12.9175946547884	1.931330472103	1.22699386503067	2.99065420560748	5.73770491803279	7.02479338842975	4.34782608695652	13.6678200692042	11.8694362017804	9.57446808510638	2.34791889007471	6.11702127659574	1.37409824802473	1.31860886764463	14.3027413587604	2.35169898253024	6.15384615384615	1.39372822299652	2.89834974344751	2.11989574283232	3.40909090909091	1.66320166320166
"ANKRD37"	11.2565445026178	7.72027373823781	23.5976789168279	20.1559020044543	44.6351931330472	26.3803680981595	31.2772585669782	23.7704918032787	25.6198347107438	26.0869565217391	16.1764705882353	15.727002967359	7.4468085106383	9.07150480256137	11.3031914893617	14.0158021298523	21.3120158233064	19.1895113230036	8.61969667882511	14.6153846153846	28.9198606271777	14.9355151851338	11.1728931364031	30.6818181818182	9.97920997920998
"ANKRD62"	0	0.0213857998289136	0.0644745325596389	0.0371195248700817	0	0.613496932515337	0.0623052959501558	0	0	0	0.0865051903114187	0	0	0	0.0221631205673759	0	0.0494478325366738	0.834326579261025	0.0479938567863313	0	0	0.0554708084870337	0.052128583840139	0	0
"ANTXR2"	4.84293193717278	5.79555175363559	6.25402965828498	4.12026726057906	3.6480686695279	6.13496932515337	11.1526479750779	35.2459016393443	10.3305785123967	13.0434782608696	26.4273356401384	17.5074183976261	4.25531914893617	15.3681963713981	5.09751773049645	5.0498110614909	5.9172572935553	12.1573301549464	2.02534075638318	5.38461538461539	6.96864111498258	6.03245042296491	3.96177237185056	5.68181818181818	10.3950103950104
"APOD"	20.2879581151832	4.42686056458512	2.90135396518375	12.9175946547884	33.2618025751073	3.06748466257669	6.72897196261682	12.2950819672131	3.71900826446281	2.17391304347826	67.2361591695502	51.0385756676558	4.25531914893617	4.05549626467449	7.93439716312057	1.64891789762968	4.38437448491841	3.4564958283671	2.10213092724131	2.30769230769231	12.5435540069686	1.51157953127167	1.39009556907037	4.54545454545455	2.49480249480249
"ARHGAP10"	4.9738219895288	3.97775876817793	0.322372662798195	2.89532293986637	0.858369098712446	0.613496932515337	8.5981308411215	42.6229508196721	19.4214876033058	0	21.5397923875433	3.26409495548961	36.1702127659575	9.49839914621131	27.6595744680851	1.27104087942288	3.5272787209494	23.1227651966627	2.5340756383183	6.15384615384615	1.74216027874564	2.17722923311607	2.0503909643788	9.09090909090909	2.49480249480249
"ARHGDIG"	0	0	0	0.0371195248700817	0.214592274678112	0	0	0	0	0	0.756920415224913	0	0	0	0	0.0343524562006183	0.0164826108455579	0	0.0287963140717988	0	0.348432055749129	0	0	0	0
"ARHGEF17"	8.1151832460733	8.169375534645	0	2.96956198960653	6.43776824034335	0	0.498442367601246	0	1.2396694214876	0	7.76384083044983	5.6379821958457	1.06382978723404	0.32017075773746	0.820035460992908	0.0687049124012367	0.280204384374485	17.8784266984505	0.191975427145325	0	0.696864111498258	0.0416031063652753	0.191138140747176	0	0
"ARHGEF25"	0.654450261780105	0.427715996578272	0	1.03934669636229	0.643776824034335	0	0.124610591900312	0	2.89256198347107	0	17.1496539792388	0.593471810089021	0	0	0.177304964539007	0.103057368601855	0.148343497610021	25.6257449344458	0.297561912075254	0	1.39372822299652	0.0693385106087921	0.104257167680278	1.13636363636364	0
"ASIP"	0	0	0	0.0742390497401633	0.214592274678112	0	0.0623052959501558	0	0.826446280991736	6.52173913043478	0.519031141868512	0	1.06382978723404	0.64034151547492	0.598404255319149	0.0343524562006183	0.0329652216911159	0	0.00959877135726627	0	0	0.0277354042435169	0	0	0
"ASPN"	1.17801047120419	0.320786997433704	0.193423597678917	0.816629547141797	0.429184549356223	2.45398773006135	0.623052959501558	0	2.06611570247934	0	22.9238754325259	1.48367952522255	3.19148936170213	0.747065101387407	1.68439716312057	0.274819649604947	0.445030492830064	27.0560190703218	0.220771741217124	0.769230769230769	0.696864111498258	0.277354042435168	0.260642919200695	0	0.831600831600832
