"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"AgingCluster"	"nlp"	"genes"
"CPE"	732.668197560482	-6.69480359925189	0.351399001432937	-19.0518572106118	6.34120430258328e-81	4.46674431073966e-77	"1"	76.3500089070789	"CPE"
"MTRNR2L12"	21232.202305733	9.77591536767608	0.718994034015577	13.5966571420317	4.19158064991156e-42	4.21792772828243e-39	"2"	38.374900865914	"MTRNR2L12"
"IDO1"	3089.13968249005	7.12959438697347	0.790374147495705	9.02053085815565	1.87180031599957e-19	1.78175154404067e-17	"1"	16.7491528561774	"IDO1"
"CXCL1"	1434.0689421034	5.92774702498684	0.697149819650011	8.50283089503306	1.85022335172244e-17	1.30329732895329e-15	"2"	14.8849564948068	"CXCL1"
"FST"	363.972426912456	6.35453336295141	0.7566049274121	8.39874699823398	4.51267915121064e-17	2.88975563101161e-15	"1"	14.5391388813232	"FST"
"MRPL12"	403.405990269085	-2.47716415963109	0.296135175538913	-8.36497776774776	6.01262622672624e-17	3.77029131819522e-15	"2"	14.4236250919701	"MRPL12"
"IGFBP3"	914.604735013423	10.3090863533206	1.23314393899354	8.36000245172881	6.27169532001508e-17	3.89804310301643e-15	"1"	14.4091533629355	"IGFBP3"
"FHL1"	637.412296134071	-4.53656424258766	0.544543643579806	-8.33094701604537	8.01982192676929e-17	4.92659526036304e-15	"1"	14.3074531152999	"FHL1"
"GPR84"	290.284940809895	4.26063732524868	0.523118429684885	8.14468977477088	3.80255543945072e-16	2.02918185723416e-14	"2"	13.6926790293323	"GPR84"
"CRYAB"	313.888562090262	11.788537601571	1.45527052972859	8.10058154875822	5.46970841124325e-16	2.88964695365981e-14	"1"	13.5391552144903	"CRYAB"
"NALCN"	58.6265560716277	-8.87262122067846	1.0967367055592	-8.09001939636416	5.96552312713723e-16	3.1126774005596e-14	"1"	13.5068658874822	"NALCN"
"HOXB6"	189.90348488827	-5.19392200181441	0.653728441018399	-7.94507577752493	1.940721104764e-15	9.21602660356692e-14	"1"	13.0354562802571	"HOXB6"
"IQSEC3"	115.713915717478	-6.05350719683536	0.801354982066019	-7.55408942642181	4.2180030624919e-14	1.62358544110344e-12	"1"	11.789524851711	"IQSEC3"
"KRT18"	3218.75657858297	6.32000045759476	0.847667556115289	7.45575362888514	8.93555822510105e-14	3.20044434598026e-12	"2"	11.4947897205519	"KRT18"
"IL1RN"	15209.7197580929	4.25883308996284	0.572825364673255	7.43478440831983	1.04738645214673e-13	3.65237137075324e-12	"2"	11.4374250701112	"IL1RN"
"KRT79"	40.1248187133103	-7.9085828130323	1.07181434904025	-7.37868719532821	1.59857912787062e-13	5.38219754796615e-12	"2"	11.2690403659522	"KRT79"
"CPED1"	418.00816858656	-3.84393085298336	0.528740754195879	-7.26997270870354	3.59560134305885e-13	1.14259018919578e-11	"1"	10.9421095093114	"CPED1"
"GAS6"	438.041275375728	3.69033954305674	0.535003893245657	6.89778072579792	5.2821192475146e-12	1.33200171764294e-10	"1"	9.87549521513391	"GAS6"
"GEM"	160.698850146146	6.23405518432474	0.90650768792819	6.87700200157439	6.11252519466071e-12	1.51785995785629e-10	"1"	9.81876829585546	"GEM"
"MUC13"	194.940750442427	6.67658763830878	0.971415197093952	6.87305248907182	6.2842429506861e-12	1.55138577142405e-10	"1"	9.80928019601698	"MUC13"
"PITX1"	163.070915871316	4.80819395001658	0.703014177877852	6.83939826723096	7.95265100420693e-12	1.92063338309601e-10	"1"	9.71655552680598	"PITX1"
"MIR497HG"	46.8016353536691	4.72410665107206	0.697591300328085	6.77202632666184	1.26991022936517e-11	2.93286808381909e-10	"1"	9.53270747052025	"MIR497HG"
"BRSK1"	61.7671353009238	-4.00838314412734	0.594910110845531	-6.73779630073915	1.60806787069264e-11	3.63052246190993e-10	"1"	9.44003087193437	"BRSK1"
"HSPA4L"	56.4450991916191	3.17403119393604	0.472482486725057	6.71777533160302	1.84519893426312e-11	4.09157858120129e-10	"1"	9.38810910352384	"HSPA4L"
"ESRP1"	98.1627342759352	5.584900440165	0.834509207121722	6.69243717445335	2.19483989447842e-11	4.79146246385517e-10	"2"	9.31953190974978	"ESRP1"
"LSR"	517.501657945335	5.01790264504299	0.75715541718234	6.62730864914959	3.41862350802756e-11	7.15130413274102e-10	"2"	9.1456147517644	"LSR"
"FUT6"	95.897518829425	6.79012361272491	1.02842163178819	6.60247062376395	4.04361421442084e-11	8.32842646970188e-10	"2"	9.07943704422085	"FUT6"
"CBX7"	158.836163570754	-1.97935017388506	0.314315772759473	-6.29733009103471	3.02815990655697e-10	5.21099960467117e-09	"1"	8.28307895978068	"CBX7"
"NBL1"	206.26429675204	4.04020876268568	0.647194373169359	6.24265125004173	4.30215425003038e-10	7.19818872617909e-09	"1"	8.14277677095573	"NBL1"
"ANTXR2"	405.306382754785	3.16092887378735	0.507084340623953	6.23353675228448	4.56020305438044e-10	7.55221088911971e-09	"1"	8.12192589123353	"ANTXR2"
"LYZ"	87055.6589273277	-3.72268332667505	0.597972359024094	-6.22551071215158	4.79989855201798e-10	7.91814646379734e-09	"2"	8.10137646926344	"LYZ"
"PI3"	1224.83856547109	8.93875861661091	1.45696333326817	6.1351980605854	8.50531620162892e-10	1.32743236316708e-08	"2"	7.87698759834567	"PI3"
"MYOZ1"	32.5740345461877	-5.45465491062184	0.896744165037617	-6.08273253764972	1.18151354319738e-09	1.78213734438594e-08	"1"	7.74905882913729	"MYOZ1"
"EYA4"	64.1339893979286	6.47391356500715	1.06450013337756	6.08164655129355	1.18954567589254e-09	1.79297284043945e-08	"1"	7.74642628898584	"EYA4"
"GSTO2"	52.0162118809487	3.5765184229076	0.589360414041649	6.06847412499418	1.29131215141024e-09	1.93121078440207e-08	"2"	7.71417032202239	"GSTO2"
